page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
1,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,84,,,,,,,,
2,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4126,,,,,,,,
3,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3546,,,,,,,,
4,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3600,,,,,,,,
5,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3389,,,,,,,,
6,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3545,,,,,,,,
7,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4058,,,,,,,,
8,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4327,,,,,,,,
9,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3544,,,,,,,,
10,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1885,,,,,,,,
11,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3299,,,,,,,,
12,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3095,,,,,,,,
13,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3723,,,,,,,,
14,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3610,,,,,,,,
15,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3433,,,,,,,,
16,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3658,,,,,,,,
17,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3801,,,,,,,,
