page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
1,clean_text_short_used_ocr,69.0,66,False,True,False,False,False,0.017857142857142856,9.0,4.0
2,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,73,,,,,,,,
3,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,540,,,,,,,,
4,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3179,,,,,,,,
5,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2965,,,,,,,,
6,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3578,,,,,,,,
7,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3176,,,,,,,,
8,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3374,,,,,,,,
9,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,532,,,,,,,,
10,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,5878,,,,,,,,
11,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3877,,,,,,,,
12,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4026,,,,,,,,
13,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1217,,,,,,,,
14,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3878,,,,,,,,
15,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4896,,,,,,,,
16,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4168,,,,,,,,
17,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2088,,,,,,,,
18,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4470,,,,,,,,
19,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3792,,,,,,,,
20,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4113,,,,,,,,
21,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2243,,,,,,,,
22,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1536,,,,,,,,
23,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1690,,,,,,,,
24,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1782,,,,,,,,
25,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3589,,,,,,,,
26,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3552,,,,,,,,
27,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4633,,,,,,,,
28,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,3027,,,,,,,,
29,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4350,,,,,,,,
30,rotated_page_low_yield:rotated_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1235,,,,,,,,
