page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
2,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,84,,,,,,,,
3,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,831,,,,,,,,
4,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4175,,,,,,,,
5,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3735,,,,,,,,
6,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3640,,,,,,,,
7,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1582,,,,,,,,
8,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2623,,,,,,,,
9,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4343,,,,,,,,
10,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3272,,,,,,,,
11,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3873,,,,,,,,
12,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3622,,,,,,,,
13,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3961,,,,,,,,
14,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1922,,,,,,,,
15,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3234,,,,,,,,
16,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2372,,,,,,,,
17,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2303,,,,,,,,
18,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1709,,,,,,,,
19,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2524,,,,,,,,
20,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2660,,,,,,,,
21,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3759,,,,,,,,
22,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2838,,,,,,,,
23,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2622,,,,,,,,
24,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3411,,,,,,,,
25,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2231,,,,,,,,
26,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4518,,,,,,,,
27,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3981,,,,,,,,
28,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3764,,,,,,,,
29,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3389,,,,,,,,
30,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4180,,,,,,,,
31,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4441,,,,,,,,
32,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1918,,,,,,,,
33,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3559,,,,,,,,
34,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3626,,,,,,,,
35,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3464,,,,,,,,
36,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3344,,,,,,,,
37,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2070,,,,,,,,
38,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2297,,,,,,,,
39,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1090,,,,,,,,
40,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1763,,,,,,,,
41,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,4350,,,,,,,,
42,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3579,,,,,,,,
43,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,801,,,,,,,,
44,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1923,,,,,,,,
45,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1130,,,,,,,,
46,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2748,,,,,,,,
47,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2465,,,,,,,,
48,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2900,,,,,,,,
49,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2359,,,,,,,,
50,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3242,,,,,,,,
51,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3793,,,,,,,,
52,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3776,,,,,,,,
53,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3489,,,,,,,,
