query_id,topic,year,sequence,k,answer_type,doc_id,expected_section,expected_subsection,expected_pages,evidence_layout,failure_stage,leakage_count_top_k,leakage_rate_top_k,leakage_doc_ids_top_k,page_recall_at_k,page_precision_at_k,page_mrr_at_k,chunk_hit_at_k,chunk_precision_at_k,chunk_mrr_at_k,top_pages,top_chunk_ids,top_doc_ids
Q_2021_FIN_01,FIN,2021,1,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_000'],['Grampian-2020-2021']
Q_2021_FIN_02,FIN,2021,2,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_002'],['Grampian-2020-2021']
Q_2021_FIN_03,FIN,2021,3,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_001'],['Grampian-2020-2021']
Q_2021_FIN_P1,FIN,2021,P1,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_002'],['Grampian-2020-2021']
Q_2021_FIN_04,FIN,2021,4,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_000'],['Grampian-2020-2021']
Q_2021_FIN_05,FIN,2021,5,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_001'],['Grampian-2020-2021']
Q_2021_FIN_06,FIN,2021,6,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_001'],['Grampian-2020-2021']
Q_2021_FIN_07,FIN,2021,7,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_001'],['Grampian-2020-2021']
Q_2021_FIN_P2,FIN,2021,P2,1,text,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],table,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_002'],['Grampian-2020-2021']
Q_2021_SAV_01,SAV,2021,1,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[29],['Grampian-2020-2021:p0029_000'],['Grampian-2020-2021']
Q_2021_SAV_02,SAV,2021,2,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[34],['Grampian-2020-2021:p0034_000'],['Grampian-2020-2021']
Q_2021_SAV_03,SAV,2021,3,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[29],['Grampian-2020-2021:p0029_000'],['Grampian-2020-2021']
Q_2021_SAV_04,SAV,2021,4,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[29],['Grampian-2020-2021:p0029_000'],['Grampian-2020-2021']
Q_2021_SAV_P1,SAV,2021,P1,1,text,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[29],['Grampian-2020-2021:p0029_000'],['Grampian-2020-2021']
Q_2021_COV_01,COV,2021,1,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[28],['Grampian-2020-2021:p0028_002'],['Grampian-2020-2021']
Q_2021_COV_02,COV,2021,2,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[29],paragraph,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[30],['Grampian-2020-2021:p0030_002'],['Grampian-2020-2021']
Q_2021_COV_P1,COV,2021,P1,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[28],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[28],['Grampian-2020-2021:p0028_002'],['Grampian-2020-2021']
Q_2021_IJB_01,IJB,2021,1,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[26],paragraph,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[23],['Grampian-2020-2021:p0023_001'],['Grampian-2020-2021']
Q_2021_IJB_02,IJB,2021,2,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[26],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[26],['Grampian-2020-2021:p0026_002'],['Grampian-2020-2021']
Q_2021_IJB_03,IJB,2021,3,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[27],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2020-2021:p0027_000'],['Grampian-2020-2021']
Q_2021_IJB_04,IJB,2021,4,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[27],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2020-2021:p0027_000'],['Grampian-2020-2021']
Q_2021_IJB_05,IJB,2021,5,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[27],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2020-2021:p0027_001'],['Grampian-2020-2021']
Q_2021_IJB_06,IJB,2021,6,1,number,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[27],paragraph,hit,0,0.0,[],1.0,1.0,1.0,1.0,1.0,1.0,[27],['Grampian-2020-2021:p0027_001'],['Grampian-2020-2021']
Q_2021_IJB_P1,IJB,2021,P1,1,text,Grampian-2020-2021,PERFORMANCE REPORT,B PERFORMANCE ANALYSIS,[27],paragraph,missed_top_ranked,0,0.0,[],0.0,0.0,0.0,0.0,0.0,0.0,[26],['Grampian-2020-2021:p0026_000'],['Grampian-2020-2021']
