doc_id,report_year,period_end_date,report_year_source,run_date_utc,part,section_title,subsection_title,page_start,page_end,section_text,word_count
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,Unknown,Unknown,1,2,"Grampian Health Board Annual Report and Accounts NHS 2021 - 2022 Grampian
GRAMPIAN HEALTH BOARD (Commonly known as NHS Grampian) ANNUAL REPORT AND ACCOUNTS YEAR ENDED 31 MARCH 2022",29
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,Performance Report,Unknown,3,3,Page Performance Report 3 a) Overview 16 b) Performance Analysis The Accountability Report a) Corporate Governance Report 39 i) Directors’ Report 43 ii) Statement of Chief Executive’s responsibilities as the Accountable Officer of the Health Board 44 iii) Statement of Health Board Members’ Responsibilities in respect of the Accounts 45 iv) Governance Statement b) Remuneration and Staff Report 69 i) Remuneration Report 73 ii) Staff Report 82 c) Parliamentary Accountability Report 83 Independent Auditor’s Report Financial Statements 87 Consolidated Statement of Comprehensive Net Expenditure 89 Consolidated Statement of Financial Position 91 Consolidated Cash Flow Statement 93 Consolidated Statement of Changes in Taxpayer’s Equity 94 Notes to the Accounts 140 Directions by the Scottish Ministers,114
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT,Unknown,4,4,"a) OVERVIEW 1. Purpose This Overview aims to provide the reader with sufficient information to understand the purpose of the NHS Grampian Board, the key risks to the achievement of its objectives and how it has performed during the year. Should you wish to find out more detailed information we have provided this in the rest of the Performance Report, the Accountability Report and the financial statements. NHS Grampian publishes a wide range of information on its services and activities on its website which you can find at: https://www.nhsgrampian.org/ 2. Statement from the Chief Executive Looking back on 2021/22 and my first full year as the Chief Executive, I am proud of the response we have had from our colleagues, partners and the public during an exceptional period of uncertainty and challenge for us all. I am extremely grateful for everything that people in communities across Grampian have done and continue to do to support NHS Grampian and all those providing care services on our behalf. We are also thankful for the patience, kind messages and thanks shown, which has lifted our colleagues during a very busy and difficult time. However, I know the impact this year has had – and continues to have - on everyone, and my focus will remain on this. I would like to express my thanks and appreciation to all colleagues for their outstanding contributions and for their relentless professionalism. The care and compassion shown to people in our care and to colleagues has been exemplary, as we have addressed the enduring system pressures and other challenges we have faced. Two examples of this are the enthusiasm and commitment in rolling out the largest mass vaccination programme in a generation and supporting communities impacted by the three storms that arrived in the Grampian area this winter. I would also wish to thank all our partners for their collaborative support – our care homes, local authorities, our national health services colleagues and local resilience partnership members. The changes that you have helped us make have been essential in managing the impact of COVID-19; redesigning how the public access health and social care and implementing a range of measures to support the most vulnerable in our communities. Our response has been enabled by whole system co-ordination and collaboration, the strength of our local Health and Social Care Partnerships and the generous support from the public who have been a great credit to all in the North East of Scotland. For your support we are truly grateful. The impact of COVID-19 has been enduring and we have required to take exceptional steps to protect the public and meet continued surges in activity, whilst sustaining changes to the way we provide access to our health and social care services. Many of these changes have been very difficult and affected colleagues, people in receipt of our services and the wider public. We are truly sorry that some people have had to wait longer for the care they need, to allow colleagues to care for those most unwell and who have most needed our help during this time. I do not underestimate the impact this is having and we are working as hard as we can to address this.",538
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,5,5,"a) OVERVIEW (cont) 2. Statement from the Chief Executive (cont) The changes made have meant colleagues have had to work very differently. We still have significant challenges to face but we are committed to recover and rebuild by doing more of what worked well before and during COVID-19. Over the last 12 months we have had an overwhelming response to the consultation and engagement on our new Plan for the Future – 2022-2028. Together with our colleagues, partners and the public we are committed to planning for a better future, recovery from the impact of COVID-19 and transforming our services in support of the delivery of safe, high quality, person-centred and sustainable health services over the next five years and beyond. Despite the challenges the last 24 months have presented, I remain optimistic about the opportunities for the future and the development of the new strategic plan will ensure our key outcomes are aligned to the NHS Scotland Recovery Plan and create the robust foundations required for the ongoing delivery of our medium and longer term ambitions. Continuing to respond to COVID-19 will be a factor for the foreseeable future and we are redesigning our services to ensure that we can continue to meet the health and social care needs of our population and provide a safe environment for our staff and most vulnerable patients. Many of the changes that we have already made will provide a greater level of care in our communities and build on the excellent foundations established through the integration of health and social care and as we prepare for the introduction of the National Care Service. During this period of preparing for the future your input and support will be important, and I would thank you in advance for working with colleagues and services as we make the necessary changes over the coming months. It is a privilege to be the Chief Executive at this time and I am incredibly grateful for your support and in particular the way everyone has worked together to meet the challenges of this pandemic. I look forward to working with the Board, System Leadership Team, our staff and partners in addressing the challenges that we face, implementing our Plan for the Future and continuing to provide the quality of care that our key stakeholders and the people of Grampian expect from us. Professor Caroline Hiscox Chief Executive",398
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,6,6,"3. Background and Principal Activities Grampian Health Board is responsible for leading efforts to improve the health of the people in Grampian, and for providing the health care services that people need. We also provide some specialist clinical and support services to other NHS Boards within the North of Scotland and some national services for the whole of Scotland. 17,000 directly employed staff and a range of independent primary care practices (69 General Medical, 132 Pharmacy, 92 Dental and 54 Opticians) provide the full range of primary, community and specialist health services to the over half-million people who live in Grampian. Services are provided at over 100 locations and where possible in people’s own homes across an area covering 3,000 square miles of city, town and village and rural communities. We are the fourth largest health board in Scotland by general funding allocation. A new operating model aimed at strengthening integration between hospital and community based services was introduced in shadow form in April 2021 and subsequently endorsed by the Board in August 2021. Services are delivered based on a portfolio management structure covering Family services, Surgical and Clinical Support Services, Medical and Unscheduled Care, Mental Health and wellbeing, Public Health and services in Moray. The portfolio arrangements also include, a range of Primary and Community Care services delegated to the three Integration Joint Boards (IJBs) covering Aberdeen City, Aberdeenshire and Moray. All our direct clinical services are supported by corporate functions such as Facilities, E- Health, Finance and Human Resources. The IJBs are legally constituted cross-sector bodies providing a focus for NHS Grampian to work in partnership with other agencies, including Local Authorities and Primary Healthcare contractors, in the provision of integrated services to the local communities. Executive Director and Non-Executive members of the NHS Grampian Board are members of the Integration Joint Boards which provide the strategic direction for the integration of adult health and social care.",319
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,7,7,"4. Responding to COVID-19 At the end of the last financial year, the Board exited from Operation Snowdrop which was in place throughout the period January to March 2021 as the NHS responded to the second significant COVID-19 wave. In line with the national guidance, the focus of our response in the first six months of the year following Operation Snowdrop were on the following as reflected in Remobilisation Plan (v3) approved by the Board in June 2021. Source: Remobilisation Plan (v3) The governance structure within NHS Grampian has been adapted and changed to reflect the level of response to the pandemic as determined nationally and in relation to the NHS Grampian civil contingency plan. These governance arrangements established the framework for direction and decision making, escalation, advice and communication within the various facets of NHS Grampian and in partnership with Integration Joint Boards, Local Authority and other statutory partners. As noted above NHS Grampian provided regular remobilisation plans and reporting to the Scottish Government via the agreed mechanisms. The governance arrangements during the last 12 months can be summarised as follows : Source: Remobilisation Plan (v4) The latest Remobilisation Plan (v4) approved by the Board in December 2021 set out the whole system overarching plan for the delivery of health and social care services and how we have worked with our staff, our partner organisations and the public specifically over the final six-month period of the year in response to the system pressures on the health and care system and the further variants of COVID-19.",256
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont)h,Unknown,8,8,"4. Responding to COVID-19 (cont) Our approach continues to be based on the four pillars (Respond, Recover, Remobilise and Renew) which we have aligned to five NHS Grampian system wide objectives and the NHS Scotland Recovery Plan. An overview is noted below: The Covid-19 vaccination programme has been a crucial part of our response to the pandemic and has helped to protect Grampian’s population from Covid-19. It is the largest vaccination programme that we have ever carried out and was delivered under challenging circumstances with our team having to often respond quickly to new advice. Our programme was reliant on temporary staff and volunteers and a robust education programme. Vaccinators consisted of Nurses, GPs, Dentists, Optometrists, Pharmacists, Allied Health Professionals, Healthcare Students and Healthcare Support Workers (HCSWs). This diverse workforce enabled us to deliver our programme at pace during the pandemic and work is ongoing to continue to build a sustainable service with a substantive workforce to continue to protect our population During 2021-22 we administered 990,238 covid-19 vaccine doses within Grampian which included successfully accelerating the programme to offer our whole adult population a booster dose by the 31 st December 2021. Despite our high uptake of Covid-19 vaccines overall, there was variation in uptake between different groups of the population and we worked with partners across our system to increase uptake and reduce vaccine hesitancy. We delivered vaccines in a range of locations across Grampian to reach as many people as possible and our approaches have been shared nationally as good practice.",254
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont)h,Unknown,9,11,"5. Risk and Uncertainty During 2021/22 the Board and the NHS more widely faced the unprecedented challenge of continuing to respond to COVID-19, to roll out the largest scale mass vaccination programme in a generation and to provide access to a full range of services, within the capacity available. The challenge for the Board was to manage our risks in a way that ensured the continued delivery of critical and protected clinical services and fulfilled the key operational objectives set out above and reflected in our remobilisation plan. As required by the Scottish Government, the Board developed two further remobilisation plans – Remobilisation Plan (v3) and (v4) which were approved at respective Board meetings in June 2021 and December 2021. These plans were developed following consultation and engagement with clinical services, staff, Integration Joint Boards and other key partners as part of a whole system response. Both remobilisation plans set out an assessment of the key priorities, challenges and risks facing NHS Grampian and how these will be mitigated. Moving forward the Board will continue to build on the relationships we have with key partners to embed the many transformational changes and initiatives introduced to our core services as part of our COVID-19 response and remobilisation efforts. The Integration Joint Boards (IJBs) in particular, provide a focus for effective engagement and delivery of our clinical strategy through a sustainable shift in the balance of care to community-based services. The risk plan submitted in the most recent remobilisation plan (December 2021) is set out on pages 8 to 10 below. The ongoing review and development of the Board’s strategic Risk Register is a dynamic process subject to ongoing review and development and the most recent version supporting NHS Grampian’s new Strategy – Plan for the Future 2022-2028 was approved by the Board on 2 June 2022. This can be accessed at the following link https://www.nhsgrampian.org/about-us/planforthefuture/how-we-will-do-it/who-will-support-our- journey/strategic_risk/ The Board’s risk management processes are covered in more detail in the Governance Statement on pages 57 to 60. NHS Grampian Risk Plan included with RMP4 Title Risk Mitigating action The NHS Grampian Vaccinations Because there is a lack of certainty Programme Board have developed around the new vaccination a plan for the delivery of a whole programme funding there may be system vaccination programme. insufficient capacity to deliver the This will form the basis of ongoing Vaccine programme beyond April 2022, discussions with the Scottish programme which could result in patients not Government Health and Social receiving vaccines, increased Care Directorate regarding the infection within the community with direction of the future vaccination resultant increased demand upon programme and operational system capacity and delivery. delivery model.
Title Risk Mitigating action As set out in the plan we have vacancies in a number of key Should we be unable to recruit clinical services and locations community health and social care which is impacting on capacity. We staff to vacancies, particularly in Health & have however made offers to all advance of winter, we may not social care newly qualified nurses, continued have the capacity to respond to staff with additional junior doctors increased presentations which recruitment recruited in 2020 rotation and have could lead to poor and unsafe enhanced capacity in our levels of direct care for vulnerable recruitment teams, in addition to individuals. streamlining our processes and on- boarding. We will continue to operate in accordance with the relevant COVID-19 and clinical guidance to Because of continuing restrictions maintain safe environments for our on our capacity (COVID-19, staff and patients. It is likely that the legislation, clinical guidelines) we ability to source workforce will be a may be unable to remobilise to the Restrictions greater limiting factor than the extent required to achieve demand on capacity ability to increase physical / capacity balance and backlog infrastructure capacity. Our recovery, which could lead to long- Grampian Operational Escalation term harm or poorer outcomes for System will support the decisions patients and low morale for staff. we require to take as surges in demand present across the entire health and social care system. This plan sets out the approach we As a result of the demands facing will take during the next 6 months our workforce and the continued to respond to the system wide gaps in certain key areas we may demand and anticipated surges in be unable to meet health and Workforce activity. We have a well established social care demand as currently pressures elective clinical prioritisation system planned and delivered, which which will remain in place to ensure could lead to loss of staff and that our highest priority patients are missed opportunity to change and identified and resources allocated redesign. to meet their needs. Due to the uncertainties around We continue to take a proactive the impact of the EU Exit, COVID- role in planning for the range of 19 response, and COP 26, there is contingent events which are a possibility that our support impacting or could impact on our Resilience system is not resilient enough to service reslience. We are deal with emergency situations continually reviewing and updating over a sustained period, which our contingency response plans, could lead to failure to deliver our conducting additional training and statutory functions. testing where appropriate.
Title Risk Mitigating action We have an integrated The age and condition of our infrastructure strategy and clarity infrastructure (and insufficient regarding the risks and allocation funding to meet required of available funding. Key elements Age and standards) means that we might of our estate – theatres, condition of be unable to plan on the basis of laboratories and critical care – will infrastructure having reliable and sustainable require major backlog, facilities and equipment which reconfiguration and statutory could lead to disruption to compliance works which may have services. service implications over the next 5 year period. A lack of resources might mean The Board approved the Digital that we are unable to embed and Strategy in October 2020 with a accelerate Digital Change as one strong ambition to use digital of the key agreed organisational solutions to positively change and renewal priorities which underpins redesign services. The most and supports transformation significant challenge is the capacity across NHS Grampian meaning within services and our eHealth that we may be unable to deliver team to support change at the pace Digital against the Digital Work Plan which would make a difference for Change priorities set against the Digital staff and patients. The Board is Health & Care Strategy and refreshing its wider strategy and Remobilisation Plan’s Failure to consideration will be given to how achieve organisational objectives. we resource our transformation This could lead to reputational programme, including our digital impact across NHS Grampian and work plan. potential failure to meet agreed deliverables. The risks around the continuity of the Test and Protect programme As staff are on temporary have been discussed with SG contracts there is a possibility that colleagues and joint working Test & protect capacity within the program may continues to clarify the decrease over the next 6 months requirements for the service and and limit our ability to respond. need to provide certainty of funding to secure the necessary capacity to operate without disruption. 6. Non-Financial Performance Summary NHS Grampian has a performance framework through which a culture of continuous improvement is supported. Our vision, proudly working together to improve our health, is supported by a set of strategic themes: - Improving health and reducing inequalities; - Delivering high quality care in the right place; - Involving our patients, public, staff and partners; and",1261
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,12,12,"6. Non-Financial Performance Summary (cont) The core values of the Board are caring, listening and improving. These values are embedded in everything we do in making the vision a reality. The continued impact of the COVID-19 pandemic and the wider system pressures on the NHS, our partner organisations and the public was significant this year and although the Board has successfully met its financial targets for 2021/22, performance against the key national clinical treatment targets has clearly been impacted by the changes made to ensure the delivery of safe and effective services throughout the year as part of our COVID-19 response. All clinical services are now open and accepting referrals. The length of wait for treatment in some services is impacted by the historical backlog that built up during the COVID response period and also by enhanced infection control measures that remain in place. Recognising the current operational and workforce challenges alongside growing financial pressures, the Scottish Government have clarified the areas of activity to be prioritised during the coming year as a phased reduction in waiting times with no outpatient waiting longer than one year by March 2023 and no-one waiting longer than one year for in- patient/day case treatment by September 2024. A proposed plan to achieve reduction in current waiting times through investment in a range of initiatives is under consideration by the Scottish Government. 6.1 Key National Treatment Targets The impact of these emergency measures on the key national treatment targets is summarised below : a) Attendance at Accident & Emergency 98% of patients should wait no more than 4 hours from arrival to admission, discharge or transfer for accident and emergency treatment. Performance - Total A&E attendances in March 2022 were 9,581, an increase of 37% over March 2021. - The percentage seen within 4 hours in an A&E department for the year ending 31 March 2022 was 71.8% (88.5% at 31 March 2021) compared to the Scotland wide rate of 71.6% (88.5% at 31 March 2021). - The number waiting 4 hours or more in March 2022 was 2,698 with 178 waiting over 12 hours, compared to 808 (2 over 12 hours) in March 2021. The pressures on Emergency Departments (ED) during the year were well publicised across the NHS in Scotland and the UK. Our local analysis suggests that the ED performance was acting as the bellwether of the pressures experienced right across the whole health and social care system with capacity and flow factors affecting each step in a patients pathway combining to manifest at the front door of the hospital affecting the 4-hour performance.",433
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,13,13,"6. Non-Financial Performance Summary (cont) 6.1 Key National Treatment Targets b) Delayed Discharge Reduction in the number of patients awaiting discharge from hospital into a more appropriate care setting, once treatment is complete. Performance - There were 104 patients, of which 71 were more than 3 days delayed at the March 2022 census date (52 at March 2021 of which 37 were delayed more than 3 days). - Patients spent 2,432 days in hospital due to delays in discharge in Grampian (1,726 at March 2021). c) Treatment Time Guarantee 12 week in-patient / daycase Treatment Time Guarantee (TTG) and 12 weeks for first outpatient appointment. Performance - Available capacity is targeted at urgent and priority patients (Elective Surgery Category System (ESCatS) 0 and 1 including cancer) and to address long waiting patients. - The tables below set out the increases in both the waiting times for in patient/day case treatment and the number of patients waiting for a first outpatient appointment. Source: Tableau (Elective Care Overview)",166
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,14,14,6. Non-Financial Performance Summary (cont) 6.1 Key National Treatment Targets c) Treatment Time Guarantee (cont) - Patients on our waiting list (~10k) have received an explanatory letter with an apology for the delay and highlighting escalation routes for them to raise concerns relating to their health. Patients waiting over 52 weeks (~4k) have also been contacted and invited to feedback on the quality of life impact on them to inform how we can reflect their needs into our remobilisation planning. d) Cancer Cancer Access Times: 31 days from decision to treat (95%) and 62 days from urgent referral with suspicion of cancer (95%). Performance - Cancer performance against the 31 day standard has remained above 90% but below the 95% target for the majority of the year. - The 62 day performance has been lower than in the prior year due to the increasing demand and rise in the number of cancers being detected and treated. - The tables below set out the performance against both targets. The performance analysis on pages 29 to 37 covers the impact COVID-19 has had on the organisation and the corresponding position in relation to our operational activity and performance in some detail.,199
Grampian-2021-2022,2021-2022,,pdf_cover,2026-02-25T19:03:12+00:00,Unknown,PERFORMANCE REPORT (cont),Unknown,15,15,"7. Plan for the Future – 2022/28 The Grampian Clinical Strategy for 2016-2021 was approved by the Grampian NHS Board in October 2016 following extensive discussion and engagement with staff, partners and the public. It was intended to review the Clinical Strategy during 2020/21 but for the reasons of COVID-19 this was deferred until April 2021. The Board is now looking ahead, beyond the current COVID-19 pandemic and considering how NHS Grampian, together with the public and its partners, can make the biggest difference to the health and wellbeing of the people of Grampian with the resources we have. In terms of our population health and planning for the future there are a range of factors that will require to be considered, with some examples noted below: A multi-agency meeting was hosted by the Board in April 2021, at which the process for developing the Plan for the Future – 2022-28 and the supporting communication and engagement was agreed. The public consultation was launched in June 2021 and detailed feedback was received from over 2,100 people living in Grampian. The consultation and engagement on the priorities for the future will inform the final version of the plan. The Plan for the Future will set out the direction, ambitions and high-level priorities for the recovery from COVID-19 and the transformation of our services in support of the delivery of safe, high quality, person-centred and sustainable clinical services over the next five years and beyond. The main focus is to ensure staff have the appropriate support and mechanisms in place to continue to work collaboratively with patients, the public and our partners to improve health and clinical outcomes for the population of the North and North East of Scotland. The strategy is about enabling good health and wellbeing of our staff, patients and the people of the North East and North of Scotland. It will not only set out NHS Grampian's priorities, but also outline those shared priorities with health and social care partners in the North and North East of Scotland to improve population health and health equality, taking account of the changing demographics and need to reduce health inequalities.",359
