page,extractor_notes,ocr_text_len,clean_text_len
18,clean_text_short_used_ocr,113.0,110
53,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1032
90,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3200
113,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1734
114,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1744
115,clean_text_short_used_ocr,2976.0,2922
117,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1362
118,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1252
119,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2802
120,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2360
123,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1622
125,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2252
126,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1436
127,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2624
128,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2844
136,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1406
137,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1844
144,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2379
149,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1367
150,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2308
151,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2456
153,clean_text_short_used_ocr,2604.0,2585
154,clean_text_short_used_ocr,1003.0,993
