page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
18,clean_text_short_used_ocr,113.0,110,False,True,False,False,False,0.0,15.0,4.0
53,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,978,,,,,,,,
90,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3228,,,,,,,,
113,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1751,,,,,,,,
114,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1739,,,,,,,,
115,clean_text_short_used_ocr,2976.0,2922,False,False,False,True,False,0.004391217564870259,354.0,119.0
117,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1370,,,,,,,,
118,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1246,,,,,,,,
119,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2908,,,,,,,,
120,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2423,,,,,,,,
123,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1644,,,,,,,,
125,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2288,,,,,,,,
126,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1456,,,,,,,,
127,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2690,,,,,,,,
128,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2945,,,,,,,,
136,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1444,,,,,,,,
137,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1877,,,,,,,,
144,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2544,,,,,,,,
149,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1353,,,,,,,,
150,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2317,,,,,,,,
151,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2425,,,,,,,,
153,clean_text_short_used_ocr,2604.0,2585,False,False,False,True,False,0.00554016620498615,396.0,38.0
154,clean_text_short_used_ocr,1003.0,993,False,False,False,False,False,0.004830917874396135,154.0,16.0
