level,title_raw,title_norm,start_printed_page,start_pdf_page,confidence
2,Directors’ Report 1 Directors’ Report 6 Operating and Financial Review 12 Remuneration Report,directors' report 1 directors' report 6 operating and financial review 12 remuneration report,15,16,0.7
2,Statement of the Chief Executive’s Responsibilities as the Accountable Officer of the Health Board,statement of the chief executive's responsibilities as the accountable officer of the health board,16,17,0.7
2,Directors’ Report,directors' report,1,2,0.7
2,Directors’ Report,directors' report,6,7,0.7
2,Operating and Financial Review,operating and financial review,12,13,0.7
2,Remuneration Report,remuneration report,15,16,0.7
2,Statement of Health Board Members’ Responsibilities in Respect of the Accounts,statement of health board members' responsibilities in respect of the accounts,17,18,0.7
2,Statement on Internal Control,statement on internal control,20,21,0.7
1,Independent Auditor’s Report,independent auditor's report,22,23,0.7
2,Operating Cost Statement Summary of Revenue Resource Outturn,operating cost statement summary of revenue resource outturn,23,24,0.7
2,Statement of Recognised Gains and Losses,statement of recognised gains and losses,24,25,0.7
2,Balance Sheet,balance sheet,25,26,0.7
2,Cash Flow Statement,cash flow statement,26,27,0.7
2,Notes to the Accounts,notes to the accounts,51,52,0.7
