doc_id,page,proposed_subsection,toc_subsection,reason,top_lines_snippet
Grampian-2014-2015,10,A NIA NIA NWA N,Statement of the Chief Executive’s Responsibilities as the Accountable Officer of the Health Board,allow_list_reject(score=0.255),"REMUNERATION REPORT FOR THE YEAR ENDED 31 MARCH 2015 Publication of pension benefits is required in accordance with the Financial Reporting Manual (FReM) and the Companies Act {2006). This calculation aims to bring public bodies in line with other industries in disclosing an assessed cumulative pension benefit for a standard 20 year period, which is the estimated life span following retirement.The other figures shown as part of the single total figure of remuneration relate to actual eamings payable in 2014/15. Sub Total . Value of Pension Total accrued . 3 Total accrued lump . . Sala Performance earings Benefits (to be Total pension at Real increase in sum at pensionable Real increase in Cash Equivalent Cash Equivalent . . ry(bands of Related Bonus Benefits in Kind paid in aid over 20 Remuneration ensionable age at pension at age at31 March lump sum at Transfer Vat Transfer Val Real increase in £5,000) (bands of 201415 P followi {bands of Pe 31 March oy 5 pensionable age 9 pensionable age fanster Value ransier Value CETV in year £5,000) bands of years following £5,000) arch 201 (bands of £2,500) 2015 (bands of (bands of £2,500) (CETV) at3tRM4 (CETV) at31eis (bands o retirement) (bands of £6,000) £5,000) "" Note £5,000) £000 £000 £000 £000 £000 £000 £000 Remuneration of: Executive Members Mr Richard Carey a 165-170 it) 41.4 165-170 12 175-180 60-65 0-2.5 190-195 25-5 1,288 1,363 75 Mr Malcolm Wright (from 04/12/2014) b 45.50 0 0.0 45.50 40 85-90 65-70 §-7.5 205-210 17.5-20 1,334 41,507 173 Dr Roelf Dijkhuizen (to 04/10/2014) b 90-95 ie) 04 90-95 4 90-95 48-50 0-2.5 140-145 0-2.5 1,024 4,095 74 Dr Nicholas Fluck (from 04/10/2014) 85-90 Q 03 85-90 20 105-110 45-50 2.5-6 145-150 75-10 811 882 71 Mir Alan Gray 115-120 0 3.4 115-120 21 135-140 5-10 0-2.5 is] 0 59 84 25 Mrs Elinor Smith 105-110 9 34 110-145 34 440-145 35-40 0.2.5 110-115 5-75 810 854 44 Sir Lewis Ritchie (to 31/10/2014) d 70-75 0 0.0 70-75 NYA 70-75 NIA NIA NIA NA NIA NIA NA Non Executive Members The Chairman - Councillor Bill Howatson (to 31/12/14) 20-25 ie] o 20-25 NIA 20-25 NA NIA WA NYA NA NIA NIA The Chairman- Prof Stephen Logan (from 01/01/15) 5-10 9 6 5-410 NIA 5-10 NIA NYA NIA NA NIA NA NA Mrs Sharon Duncan e 60-65 0 fo) $0-65 4 85-70 28-30 0-2.5 80-85 0-2.5 519 350 31 Mrs Linda Juroszek (to 34/07/14) f 20-25 ie) 0) 20-25 3 20-25 10-15 0-2.5 30-35 0-2.5 246 253 7 Or Helen Moffat (from 01/10/2014) g 28-30 9 ie} 25-30 9 35-40 5-10 0-2.5 25-30 2.5-5 134 154 20 Mr David Anderson 5-10 is} 0 §-40 NA 5-10 NA NYA NIA NYA NIA NA NA Mr Raymond Bisset h 15-20 0 ° 15-20 NYA 415-20 NA NA NIA NIA NA NA NYA Councillor Stewart Cree 5-10 ) 0 5-10 NA 5-10 NIA NA NIA NIA NIA NIA NA Councillor Bamey Crockett 5-10 0 0 5-10 NA 5-10 NA NA NIA NIA NIA NIA NA Professor Mike Greaves 5-10 o ie) 5-10 NiA 5-10 NIA NYA N/A NIA NIA NWA N/A Mrs Christine Lester h 18-20 9 ° 15-20 NIA 15-20 NA NA NiA NA NA NYA NIA Dr Lynda Lynch 5-10 0 9 §-10 NA 5-10 NIA N/A NIA NA N/A lA NA Mr Terry Mackie $-10 9 0 5-10 NIA 5-10 NIA NWA NIA NWA NIA NIA N/A Mr Charles Muir (to 31/12/2014) h 10-15 i) 0 10-45 NIA 15-20 NA NIA NIA NIA NIA NIA NiA Mr Jonathan Passmore 5-10 Q 0 5-10 NA 5-10 NA NA NIA NIA NIA NIA N/A Councillor Anne Robertson 5-10 lei 0 5-10 WA 5-10 NA NIA NA NIA NIA NYA N/A Mr Mike Scott (to 31/12/2014) h 10-15 6 O 10-15 NIA 45-20 NA NA NWA NIA NA NIA NIA Ene Sinclair (from 01/01/2015) 0-5 0 9 0-5 NIA 0-5 NIA NA NIA NA NA NIA N/A Rhona Atkinson (from 01/01/2015) 0-5 0 0 0-5 NYA 0-5 NiA NIA NIA NIA NIA N/A, NYA a) Mr Richard Carey ceased to be the accountable officer for the NHS Grampian Board effective 30 November 2015. Mr Carey remained an employee of NHS Grampian until taking early retirement on 19 January 2015. The above remuneration figures reflect Mr Carey's total eamings during 2014/15 including payment in Heu of notice in line with contractual terms and conditions of service. Mr Carey's pension scheme received a single compensation payment of £255,789 on retirement, commensurate with NHS Pension scheme rules, to mitigate the impact of an actuarial reduction on pension benefits. No redundancy payment, no service enhancement and no other compensation far loss of office was received by Mr Carey. b} Mr Maicolm Wright is an employee of NHS Education for Scatland and is seconded to NHS Grampian as Chief Executive. c) Dr Roelf Dijkhuizen retired from the post as Medical Director and left NHS Grampian's service on 4 October 2014. The above remuneration figures reflect Dr Dijkhuizer’s total eamings during 2014/15 including payment in fieu of notice in line with contractual terms and conditions of service. Dr Dijkhuizen’s pension scheme received a single compensation payment of £21,431 on retirement, commensurate with NHS Pension scheme rules, to mitigate the impact of an actuarial reduction on pension benefits. No redundancy payment, no service enhancement and no other compensation for loss of office was received by Dr Dijkhuizen. d) Sir Lewis Ritchie, Director of Public Health until 31 October 2015, was seconded from the University of Aberdeen, School of Medicine and Dentistry . The remuneration disclosed above represents the direct salary re imburse to the University under the terms of the secondment agreement. @) Mrs Sharon Duncan worked in a full time capacity as Employee Director of NHS Grampian. f} The remuneration disclosure for Mrs Linda Jureszek includes total eamings both in her full time role as a pharmacist with NHS Grampian and for her additional duties as an NHS Board member. g} The remuneration disclosure for Dr Helen Moffat includes total eamings both in her part time role as a Clinical Psychologist with NHS Grampian and for her additional duties as an NHS Board member. h) Non Executive Board Members who were Chairs of CHP Committees and who assume additional responsibilities during the year received additional remuneration."
Grampian-2014-2015,35,Note 1. ACCOUNTING POLICIES,Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.583),"NOTES TO THE ACCOUNTS Note 1. ACCOUNTING POLICIES Authority In accordance with the accounts direction issued by Scottish Ministers under the Public Finance and Accountability (Scotland) Act 2000 appended, these Accounts have been prepared in accordance with the Government Financial Reporting Manual (FReM) issued by HM Treasury, which follows International Financial Reporting Standards as adopted by the European Union (IFRS as adopted by the EU), IFRIC Interpretations and the Companies Act 2006 to the extent that they are meaningful and appropriate to the public sector. They have been applied consistently in dealing with items considered material in relation to the accounts. The preparation of financial statements in conformity with IFRS requires the use of certain critical accounting estimates. It also requires management to exercise its judgement in the process of applying the accounting policies. The areas involving a higher degree of judgement or complexity, or areas where assumptions and estimates are significant to the financial statements are disclosed in section 30 below. The following new standards, amendments and interpretations became effective in 2014/15 for the first time: ESA 10 - Revised international standard for the UK National Accounts; IFRS 10 - Consolidated Financial Statements; IFRS 11 - Joint Arrangements; IFRS 12 - Disclosure of Interests in Other Entities; IAS 28 - Investments in Associates and Joint Ventures; and IAS 27 - Separate Financial Statements. There is no impact on the financial statements as a result of the above. The following standards have been issued but are not yet effective: IFRS 13 - Fair Value Measurement (new); IAS 36 — Impairment of assets on recoverable amounts disclosure (amendment); and Charity SORP (2015) — application of FRS 102 to charities. The impact on the financial statements as a result of the above is expected to be minimal. The new charity SORP introduces revised disclosure and presentational requirements that will require to be incorporated in the accounts of the Charity but this will not effect preparation of the group accounts. There were no new standards, amendments or interpretations early adopted this year. Basis of Consolidation In accordance with IAS 27 — Consolidated and Separate Financial Statements, the Annual Accounts consolidate the results of Grampian Health Board Endowment Fund (operating as NHS Grampian Endowment Funds.) NHS Endowment Funds were established by the NHS (Scotland) Act 1978. The legal framework under which charities operate in Scotland is the Charities and Trustee Investment (Scotland) Act 2005. Under the 1978 Act Endowment Trustees are also members of the NHS Board. The Board members (who are also Trustees) are appointed by Scottish Ministers. NHS Grampian Endowment Funds is a Registered Charity with the Office of the Charity Regulator of Scotland (OSCR) and is required to prepare and submit audited financial statements to OSCR on an annual basis. The accounts of the charity have been prepared in accordance with applicable UK accounting standards, the Statement of Recommended Practice - “Accounting and Reporting by Charities” (SORP 2005) issued in March 2005 (as amended) and comply with the Charities and Trustee investment (Scotland) Act 2005 and the Charities Accounts (Scotland) Regulations 2006. The accounting policies have been aligned to the policies of the Board for the purposes of consolidation. The basis of consolidation used is Merger Accounting. Note 28 details the intra-group transactions between the Board and the Endowment Fund eliminated on consolidation. The principal financial statements which have been consolidated are as follows: e Consolidated Statement of Comprehensive Net Expenditure; e Consolidated Statement of Financial Position (Balance Sheet), e Consolidated Statement of Cash Flows; and e Consolidated Statement of Changes in Taxpayers Equity. 32"
Grampian-2014-2015,36,A review of the accounting treatment of the provision for clinical and other employer liability risks by,Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.361),"Note 1. ACCOUNTING POLICIES (continued) Prior Year Adjustments A review of the accounting treatment of the provision for clinical and other employer liability risks by the auditors of the Scottish Government accounts for 2013/14 identified an issue with the validity of the way in which the pooling of risk across Health Boards had been reflected in the consolidated accounts. Consequently NHS Boards are required to carry an additional provision in order to fully reflect the Board’s participation in, and future liability for contributions to the Clinical Negligence and Other Risks Indemnity Scheme (CNORIS), the pooling and risk sharing arrangement across all NHS Scotland Boards. The required prior year adjustments are disclosed in note 28 and constitute an additional provision on the Balance sheet of £23.574m for 2013/14 and £30.392m for 2012/13 with a corresponding adjustment to the Statement of Comprehensive Net Expenditure in each of these years (reflected as an adjustment to the General Fund balance on the Statement of Taxpayers Equity). The impact on operating costs in each of these years is classified as non-core annually managed expenditure (AME). Note 17 Provisions has also been restated to reflect this change. This adjustment has no impact on the overall cash position. Going Concern The accounts are prepared on a going concern basis, which provides that the Board members have a reasonable expectation that the entity will continue in operational existence for the foreseeable future. Accounting Convention The Accounts are prepared on a historical cost basis, as modified by the revaluation of property, plant and equipment, intangible assets, available for sale financial assets. Fair value is defined as the amount for which an asset could be exchanged between knowledgeable, willing parties in an arms length transaction. Funding NHS Grampian Board Most of the expenditure of the Health Board as Commissioner is met from funds advanced by the Scottish Government within an approved revenue resource limit (RRL). Cash drawn down to fund expenditure within this approved revenue resource limit is credited to the general fund. All other income receivable by the board that is not classed as funding is recognised in the year in which it is receivable. Where income is received for a specific activity which is to be delivered in the following financial year, that income is deferred. Income from the sale of non-current assets is recognised only when all material conditions of sale have been met, and is measured as the sums due under the sale contract. Non discretionary funding outwith the RRL is allocated to match actual expenditure incurred for the provision of specific pharmaceutical, dental or ophthalmic services identified by the Scottish Government. Non discretionary expenditure is disclosed in the accounts and deducted from operating costs charged against the RRL in the Statement of Resource Outturn. Funding for the acquisition of capital assets received from the Scottish Government is credited to the general fund when cash is drawn down. Expenditure on goods and services is recognised when, and to the extent that they have been received, and is measured at the fair value of those goods and services. Expenditure is recognised in the Statement of Comprehensive Net Expenditure except where it results in the creation of a non- current asset such as property, plant and equipment in which case it is recognised in the Balance Sheet. 33"
Grampian-2014-2015,37,Note 1. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 1. ACCOUNTING POLICIES (continued) NHS Grampian Endowment Funds All incoming resources are recognised once the NHS Grampian Endowment Funds has received its entitlement to the resources, it is certain that the resources will be received and the monetary value of incoming resources can be measured with sufficient reliability. Legacies and donations to the NHS Grampian Endowment Funds are accounted for as incoming resources upon receipt and classified as restricted or unrestricted based on the donors stated wishes. Income from investment of charitable endowment funds is earmarked as restricted or unrestricted based on the classification of the original legacy or donation in line with the donor's stated wishes. All expenditure, including grants, is accounted for on an accruals basis and is only incurred where this will further the charitable objects of the NHS Grampian Endowment Funds. All expenditure is recognised once there is a legal or constructive obligation committing the fund to the expenditure. A liability for grants relating to the funding of salaries is recognised when the Trustees have granted approval. Where this relates to NHS Grampian employees, these balances will be eliminated on consolidation. Property, plant and equipment The treatment of capital assets e.g. Property, Plant and Equipment in the accounts (capitalisation, valuation, depreciation, particulars concerning donated assets) is in accordance with the NHS Scotland Capital Accounting Manual. Title to properties included in the accounts is held by the Scottish Ministers. Recognition Property, Plant and Equipment is capitalised where: it is held for use in delivering services or for administrative purposes; it is probable that future economic benefits will flow to, or service potential be provided to, the Board; it is expected to be used for more than one financial year; and the cost of the item can be measured reliably. All assets falling into the following categories are capitalised: 1) Property, plant and equipment assets which are capable of being used for a period which could exceed one year, and have a cost equal to or greater than £5,000. 2) In cases where a new hospital would face an exceptional write off of items of equipment costing individually less than £5,000, the Board has the option to capitalise initial revenue equipment costs with a standard life of 10 years. 3) Assets of lesser value may be capitalised where they form part of a group of similar assets purchased at approximately the same time and cost over £20,000 in total, or where they are part of the initial costs of equipping a new development and total over £20,000. Measurement Valuation: All property, plant and equipment assets are measured initially at cost, representing the costs directly attributable to acquiring or constructing the asset and bringing it to the location and condition necessary for it to be capable of operating in the manner intended by management. All assets are measured subsequently at fair value as follows: Specialised NHS land, buildings, equipment, installations and fittings are stated at depreciated replacement cost, as a proxy for fair value as specified in the FReM. Non specialised fand and buildings, such as offices, are stated at fair value. Valuations of all land and building assets are reassessed by valuers under a 5-year programme of professional valuations and adjusted in intervening years to take account of movements in prices since the latest valuation. The valuations are carried out in accordance with the Royal Institute of Chartered Surveyors (RICS) Appraisal and Valuation Manual insofar as these terms are consistent with the agreed requirements of the Scottish Government. 34"
Grampian-2014-2015,38,Note 1. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 1. ACCOUNTING POLICIES (continued) Non specialised equipment, installations and fittings are stated at fair value. Boards value such assets using the most appropriate valuation methodology available (for example, appropriate indices). A depreciated historical cost basis is a proxy for fair value in respect of such assets which have short useful lives or low values (or both). Assets under construction are valued at current cost. This is calculated by the expenditure incurred to which an appropriate index is applied to arrive at current value. These are also subject to impairment review. To meet the underlying objectives established by the Scottish Government the following accepted variations of the RICS Appraisal and Valuation Manual have been required: Specialised operational assets are valued on a modified replacement cost basis to take account of modern substitute building materials and locality factors only. Subsequent expenditure: Subsequent expenditure is capitalised into an asset's carrying value when it is probable the future economic benefits associated with the item will flow to the Board and the cost can be measured reliably. Where subsequent expenditure does not meet these criteria the expenditure is charged to the Statement of Comprehensive Net Expenditure. If part of an asset is replaced, then the part it replaces is de-recognised, regardless of whether or not it has been depreciated separately. Revaluations and Impairment: Increases in asset values arising from revaluations are recognised in the revaluation reserve, except where, and to the extent that, they reverse impairment previously recognised in the Statement of Comprehensive Net Expenditure, in which case they are recognised as income. Movements on revaluation are considered for individual asset components rather than groups or land/buildings together Upward movements in value will be taken to the revaluation reserve and included in comprehensive net expenditure. Downward movements in value will be set against any credit balance held in the revaluation reserve until the credit is exhausted and thereafter to net operating costs. Gains and losses on revaluation are reported in the Statement of Comprehensive Net Expenditure. Depreciation Items of Property, Plant and Equipment are depreciated to their estimated residual value over their remaining useful economic lives in a manner consistent with the consumption of economic or service delivery benefits. Depreciation is charged on each main class of tangible asset as follows: 1) Freehold land is considered to have an infinite life and is not depreciated. 2) Assets in the course of construction and residual interests in off-balance sheet PFl contract assets are not depreciated until the asset is brought into use or reverts to the Board, respectively. 3) Property, Plant and Equipment which has been reclassified as ‘Held for Sale’ and non operational assets which have been declared surplus cease to be depreciated upon the reclassification. 4) Buildings, installations and fittings are depreciated on current value over the estimated remaining life of the asset, as advised by the appointed valuer. They are assessed in the context of the maximum useful lives for building elements. 5) Equipment is depreciated over the estimated life of the asset. 6) Property, plant and equipment held under finance leases are depreciated over the shorter of the lease term and the estimated useful life. 35"
Grampian-2014-2015,39,Note 1. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 1. ACCOUNTING POLICIES (continued) Depreciation is charged on a straight line basis. The following asset lives have been used: Useful Life Buildings Structure 20-75 Buildings Engineering 5-35 Moveable engineering plant and equipment and equipment and long life medical equipment 10 Furniture and medium life medical equipment 5-10 Vehicles and soft furnishings 7-10 Office, information technology, short life medical and other equipment 2-5 Intangible Assets Recognition Intangible assets are non-monetary assets without physical substance which are capable of being sold separately from the rest of the Board’s business or which arise from contractual or other legal rights. They are recognised only where it is probable that future economic benefits will flow to, or service potential be provided to, the Board and where the cost of the asset can be measured reliably. Intangible assets that meet the recognition criteria are capitalised when they are capable of being used in the Board’s activities for more than one year and they have a cost of at least £5,000. The main classes of intangible assets recognised are: Internally generated intangible assets: Internally generated publishing titles, customer lists and similar items are not capitalised as intangible assets. Expenditure on research is not capitalised. Software: Software which is integral to the operation of hardware e.g. an operating system is capitalised as part of the relevant item of property, plant and equipment. Software which is not integral to the operation of hardware e.g. application software, is capitalised as an intangible asset. Software licences: Purchased computer software licences are capitalised as intangible fixed assets where expenditure of at least £5,000 is incurred and the life of the licence exceeds one year. Websites: Websites are capitalised only when it is probable that future economic benefits will flow to, or service potential be provided to, the Board; where the cost of the asset can be measured reliably, and where the cost is at least £5,000. Measurement Valuation: Intangible assets are recognised initially at cost, comprising all directly attributable costs needed to create, produce and prepare the asset to the point that it is capable of operating in the manner intended by management. Subsequently intangible assets are measured at fair value. Where an active (homogeneous) market exists, intangible assets are carried at fair value. Where no active market exists, the intangible asset is revalued, using indices or some suitable model, to the lower of depreciated replacement cost and value in use where the asset is income generating. Where there is no value in use, the intangible asset is valued using depreciated replacement cost. These measures are a proxy for fair value. 36"
Grampian-2014-2015,40,Note 1. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 1. ACCOUNTING POLICIES (continued) Revaluation and impairment: Increases in asset values arising from revaluations are recognised in the revaluation reserve, except where, and to the extent that, they reverse impairment previously recognised in the Statement of Comprehensive Net Expenditure, in which case they are recognised in income. Upward movements in value will be taken to the revaluation reserve and included in comprehensive net expenditure. Downward movements in value will be set against any credit balance held in the revaluation reserve until the credit is exhausted and thereafter to net operating costs. Intangible assets held for sale are reclassified to ‘non-current assets held for sale’ measured at the lower of their carrying amount or ‘fair value less costs to sell’. Amortisation Intangible assets are amortised to their estimated residual value over their remaining useful economic lives in a manner consistent with the consumption of economic or service delivery benefits. Amortisation is charged to the Statement of Comprehensive Net Expenditure on each main class of intangible asset as follows: 1) Software: amortised over expected useful life; 2) Software licences: amortised over the shorter term of the licence and their useful economic lives; 3) Other intangible assets: amortised over their expected useful life; and 4) Intangible assets which have been reclassified as ‘Held for Sale’ cease to be amortised upon the reclassification. Amortisation is charged on a straight line basis. The following asset lives have been used: Useful Life Information technology 2-5 Non-current assets held for sale Non-current assets intended for disposal are reclassified as ‘Held for Sale’ once all of the following criteria are met: e the asset is available for immediate sale in its present condition subject only to terms which are usual and customary for such sales; e the sale must be highly probable i.e.: = management are committed to a plan to sell the asset; = anactive programme has begun to find a buyer and complete the sale; = the asset is being actively marketed at a reasonable price; « the sale is expected to be completed within 12 months of the date of classification as ‘Held for Sale’; and « the actions needed to complete the plan indicate it is unlikely that the plan will be dropped or significant changes made to it. Following reclassification, the assets are measured at the lower of their existing carrying amount and their ‘fair value less costs to sell’. Depreciation ceases to be charged and the assets are not revalued, except where the ‘fair value less costs to sell’ falls below the carrying amount. Assets are de- recognised when all material sale contract conditions have been met. Property, plant and equipment which is to be scrapped or demolished does not qualify for recognition as ‘Held for Sale’ and instead is retained as an operational asset and the asset's economic life is adjusted. The asset is de-recognised when scrapping or demolition occurs. 37"
Grampian-2014-2015,41,Note 1. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 1. ACCOUNTING POLICIES (continued) Donated Assets Non-current assets that are donated or purchased using donated funds are included in the Balance Sheet initially at the current full replacement cost of the asset. The accounting treatment, including the method of valuation, follows the rules in the NHS Capital Accounting Manual, as set out above. Sale of property, plant and equipment, intangible assets and non-current assets held for sale Disposal of non-current assets is accounted for as a reduction to the value of assets equal to the net book value of the assets disposed. When set against any sales proceeds, the resulting gain or loss on disposal will be recorded in the Statement of Comprehensive Net Expenditure. Non-current assets held for sale will include assets transferred from other categories and will reflect any resultant changes in valuation. Leasing Finance leases Where substantially all risks and rewards of ownership of a leased asset are borne by the Board, the asset is recorded as Property, Plant and Equipment and a corresponding liability is recorded. Assets held under finance leases are valued at their fair values and are depreciated over the remaining period of the lease. The asset and liability are recognised at the inception of the lease, and are de-recognised when the liability is discharged, cancelled or expires. The minimum lease payments (annual rental less operating costs e.g. maintenance and contingent rental) are apportioned between the repayment of the outstanding liability and a finance charge. The annual finance charge is allocated to each period during the lease term so as to produce a constant periodic rate of interest on the remaining balance of the liability using either the implicit interest rate or another relevant basis of estimation such as the sum of the digits method. Finance charges are recorded as interest payable in the Statement of Comprehensive Net Expenditure. Contingent rental and operating costs are charged as expenses in the periods in which they are incurred. Operating leases Other leases are regarded as operating leases and the rentals are charged to expenditure on a straight-line basis over the term of the lease. Operating lease incentives received are added to the lease rentals and charged to expenditure over the life of the lease. Leases of land and buildings Where a lease is for land and buildings, the land component is separated from the building component and the classification for each is assessed separately. Leased land is treated as an operating lease unless title to the land is expected to transfer. PFHYHUB/NPD Schemes Transactions financed as revenue transactions through the Private Finance Initiative or alternative initiatives such as HUB or the Non Profit Distributing Mode! (NPD) are accounted for in accordance with the HM Treasury application of IFRIC 12, Service Concession Arrangements as outlined in the FReM. Schemes which do not fall within the application of IFRIC 12 are deemed to be off-balance sheet. Where the Board has contributed assets, a prepayment for their fair value is recognised and amortised over the life of the PFI contract by charge to the Statement of Comprehensive Net Expenditure. Where, at the end of the PFI contract, a property reverts to the Board, the difference between the expected fair value of the residual on reversion and any agreed payment on reversion is built up on the balance sheet over the life of the contract by capitalising part of the unitary charge each year. Transactions which meet the IFRIC 12 definition of a service concession, as interpreted in HM Treasury's FReM, are accounted for as ‘on-balance sheet’ by the Board. The underlying assets are recognised as Property, Plant and Equipment and Intangible Assets at their fair value. An equivalent liability is recognised in accordance with IAS 17. Where it is not possible to separate the finance element from the service element of unitary payment streams this has been estimated from information provided by the operator and the fair values of the underlying assets. Assets are subsequently revalued in accordance with the treatment specified for their applicable asset categories. 38"
Grampian-2014-2015,42,Note 4. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 4. ACCOUNTING POLICIES (continued) The annual contract payments are apportioned between the repayment of the liability, a finance cost and the charges for services. The finance cost is calculated using the implicit interest rate for the scheme. The service charge and the finance cost interest element are charged in the Statement of Comprehensive Net Expenditure. impairment of non-financial assets Assets that are subject to depreciation and amortisation are reviewed for impairment whenever events or changes in circumstances indicate that the carrying amount may not be recoverable. An impairment loss is recognised for the amount by which the asset's carrying amount exceeds its recoverable amount. The recoverable amount is the higher of an asset's fair value less costs to sell and value in use. Where an asset is not held for the purpose of generating cash flows, value in use is assumed to equal the cost of replacing the service potential provided by the asset, unless there has been a reduction in service potential. For the purposes of assessing impairment, assets are grouped at the lowest levels for which there are separately identifiable cash flows (cash-generating units). Non- financial assets that suffer impairment are reviewed for possible reversal of the impairment. Impairment losses charged to the Statement of Comprehensive Net Expenditure are deducted from future operating costs to the extent that they are identified as being reversed in subsequent revaluations. General Fund Receivables and Payables Where the Health Board has a positive net cash book balance at the year end, a corresponding creditor is created and the general fund debited with the same amount to indicate that this cash is repayable to the SGHSCD. Where the Health Board has a net overdrawn cash position at the year end, a corresponding debtor is created and the general fund credited with the same amount to indicate that additional cash is to be drawn down from the SGHSCD. Inventories Inventories are valued at the lower of cost and net realisable value. Taking into account the high turnover of NHS inventories, the use of average purchase price is deemed to represent current cost for certain categories of inventories. Work in progress is valued at the cost of the direct materials plus the conversion costs and other costs incurred to bring the goods up to their present location, condition and degree of completion. Losses and Special Payments Operating expenditure includes certain losses which would have been made good through insurance cover had the NHS not been bearing its own risks. Had the NHS provided insurance cover, the insurance premiums would have been included as normal revenue expenditure. Employee Benefits Short-term Employee Benefits Salaries, wages and employment-related payments are recognised in the year in which the service is received from employees. The cost of annual leave and flexible working time entitlement earned but not taken by employees at the end of the year is recognised in the financial statements to the extent that employees are permitted to carry-forward leave into the following year. Pension Costs The Board participates in the NHS Superannuation Scheme for Scotland providing defined benefits based on final pensionable pay, where contributions are credited to the Exchequer and are deemed to be invested in a portfolio of Government Securities. The Board is unable to identify its share of the underlying notional assets and liabilities of the scheme on a consistent and reasonable basis and therefore accounts for the scheme as if it were a defined contribution scheme, as required by iAS 19 ‘Employee Benefits’. As a result, the amount charged to the Statement of Comprehensive Net Expenditure represents the Board’s employer contributions payable to the scheme in respect of the year. The contributions deducted from employees are reflected in the gross salaries charged and are similarly remitted to Exchequer. The pension cost is assessed every four years by the Government Actuary who determines the rate of contributions required. The most recent actuarial valuation is published by the Scottish Public Pensions Agency and is available on their website. 39"
Grampian-2014-2015,43,Note 1. ACCOUNTING POLICIES (continued),Statement Of Changes in Taxpayers Equity,allow_list_reject(score=0.483),"Note 1. ACCOUNTING POLICIES (continued) Additional pension liabilities arising from early retirements are not funded by the scheme except where the retirement is due to ill-health. The full amount of the liability for the additional costs is charged to the Statement of Comprehensive Net Expenditure at the time the Board commits itself to the retirement, regardless of the method of payment. Clinical and Medical Negligence Costs Employing health bodies in Scotland are responsible for meeting medical negligence costs up to a threshold per claim. Costs above this threshold are reimbursed to Boards from a central fund held as part of the Clinical Negligence and Other Risks indemnity Scheme (CNORIS) by the Scottish Government. NHS Grampian provide for all claims notified to the NHS Central Legal Office according to the value of the claim and the probability of settlement. Claims assessed as ‘Category 3’ are deemed most likely and provided for in full, those in ‘Category 2' at 50% of the claim and those in ‘category 1’ at nil. The balance of the value of claims not provided for is disclosed as a contingent liability. This procedure is intended to estimate the amount considered to be the liability in respect of any claims outstanding and which will be recoverable from the Clinical Negligence and Other Risks Indemnity Scheme in the event of payment by an individual health body. The corresponding recovery in respect of amounts provided for is recorded as a debtor and that in respect of amounts disclosed as contingent liabilities are disclosed as contingent assets. As a participant in the CNORIS scheme the Board is also liable to meet the cost of contributions to the scheme in future years and is required, additionally, to provide for the Board’s share of the total CNORIS liability of NHS Scotland. Related Party Transactions Material related party transactions are disclosed in line with the requirements of IAS 24. There were no material related party transactions during 2014/15. Transactions with other NHS bodies for the commissioning of health care are summarised in Note 4. Value Added Tax Most of the activities of the Board are outside the scope of VAT and, in general, output tax does not apply and input tax on purchases is not recoverable. Irrecoverable VAT is charged to the relevant expenditure category or included in the capitalised purchase cost of fixed assets. Where output tax is charged or input VAT is recoverable, the amounts are stated net of VAT. Provisions The Board provides for legal or constructive obligations that are of uncertain timing or amount at the balance sheet date on the basis of the best estimate of the expenditure required to settle the obligation. Where the effect of the time value of money is significant, the estimated cash flows are discounted using the discount rate prescribed by HM Treasury. Contingencies Contingent assets (that is, assets arising from past events whose existence will only be confirmed by one or more future events not wholly within the Board’s control) are not recognised as assets, but are disclosed in note 19 where an inflow of economic benefits is probable. Contingent liabilities are not recognised, but are disclosed in note 19, unless the probability of a transfer of economic benefits is remote. Contingent liabilities are defined as: e possible obligations arising from past events whose existence will be confirmed only by the occurrence of one or more uncertain future events not wholly within the entity’s contro}; or e present obligations arising from past events but for which it is not probable that a transfer of economic benefits will arise or for which the amount of the obligation cannot be measured with sufficient reliability. Corresponding Amounts Corresponding amounts are shown for the primary statements and notes to the financial statements. Where the corresponding amounts are not directly comparable with the amount to be shown in respect of the current financial year, IAS 1 ‘Presentation of Financial Statements’, requires that they should be adjusted and the basis for adjustment disclosed in a note to the financial statements. 40"
