page,extractor_notes,ocr_text_len,clean_text_len,ocr_quality_reject,ocr_low_text_density,ocr_high_symbol_ratio,ocr_repeated_garbage,ocr_low_line_count,ocr_symbol_ratio,ocr_alpha_word_count,ocr_non_empty_lines
2,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,84,,,,,,,,
3,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,805,,,,,,,,
4,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2761,,,,,,,,
5,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1058,,,,,,,,
6,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2602,,,,,,,,
7,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2567,,,,,,,,
8,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2987,,,,,,,,
9,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2185,,,,,,,,
10,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2202,,,,,,,,
11,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2739,,,,,,,,
12,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3333,,,,,,,,
13,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2567,,,,,,,,
14,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2756,,,,,,,,
15,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2641,,,,,,,,
16,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3100,,,,,,,,
17,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3002,,,,,,,,
18,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2736,,,,,,,,
19,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2541,,,,,,,,
20,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2334,,,,,,,,
21,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1911,,,,,,,,
22,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2388,,,,,,,,
23,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2770,,,,,,,,
24,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2725,,,,,,,,
25,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3576,,,,,,,,
26,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3066,,,,,,,,
27,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1876,,,,,,,,
28,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1227,,,,,,,,
29,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2826,,,,,,,,
30,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2893,,,,,,,,
31,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2120,,,,,,,,
32,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2568,,,,,,,,
33,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1866,,,,,,,,
34,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1679,,,,,,,,
35,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1886,,,,,,,,
36,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3598,,,,,,,,
37,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2672,,,,,,,,
38,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3266,,,,,,,,
39,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2711,,,,,,,,
40,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3031,,,,,,,,
41,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3134,,,,,,,,
42,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2615,,,,,,,,
43,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3222,,,,,,,,
44,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2990,,,,,,,,
45,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2358,,,,,,,,
46,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3251,,,,,,,,
47,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2437,,,,,,,,
48,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2725,,,,,,,,
49,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2021,,,,,,,,
50,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3014,,,,,,,,
51,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1046,,,,,,,,
52,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2996,,,,,,,,
53,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,5354,,,,,,,,
54,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,4244,,,,,,,,
55,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2520,,,,,,,,
56,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1580,,,,,,,,
57,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1215,,,,,,,,
58,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2718,,,,,,,,
59,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1909,,,,,,,,
60,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1863,,,,,,,,
61,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2672,,,,,,,,
62,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3139,,,,,,,,
63,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2924,,,,,,,,
64,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1633,,,,,,,,
65,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1234,,,,,,,,
66,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,1117,,,,,,,,
67,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1077,,,,,,,,
68,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2302,,,,,,,,
69,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1918,,,,,,,,
70,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2373,,,,,,,,
71,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2089,,,,,,,,
72,rotated_page_low_yield:landscape_page_low_yield;ocr_raw_attempted;ocr_raw_used,,2878,,,,,,,,
73,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2148,,,,,,,,
74,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3555,,,,,,,,
75,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2701,,,,,,,,
76,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3024,,,,,,,,
77,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,3489,,,,,,,,
78,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2486,,,,,,,,
79,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,1575,,,,,,,,
80,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2788,,,,,,,,
81,fallback_not_better:empty;fallback_quality:empty;ocr_raw_attempted;ocr_raw_used,,2271,,,,,,,,
