subsection_title,size
Consolidated Statement of Changes in Taxpayer’s Equity,92
A CORPORATE GOVERNANCE REPORT,65
B PERFORMANCE ANALYSIS,65
iii) Statement of Health Board Members’ Responsibilities in respect of the Accounts,47
a) Corporate Governance Report,38
a) Overview,28
b) Remuneration and Staff Report,25
B REMUNERATION AND STAFF REPORT,23
i) Remuneration Report,22
A OVERVIEW,15
Notes to the Accounts,13
Consolidated Statement of Changes in Taxpayer s Equity,12
Consolidated Statement of Comprehensive Net Expenditure,6
ii) Staff Report,5
Consolidated Statement of Financial Position,5
C PARLIAMENTARY ACCOUNTABILITY REPORT,3
Consolidated Cash Flow Statement,3
A lease is a contract or part of a contract that conveys the right to use an asset for a,2
i) Directors’ Report,2
ii) Statement of Chief Executive’s responsibilities as the Accountable Officer of the Health Board,2
