doc_id,subsection_title,pages
Grampian-2020-2021,Consolidated Cash Flow Statement,1
Grampian-2020-2021,Consolidated Statement of Changes in Taxpayer’s Equity,46
Grampian-2020-2021,Consolidated Statement of Comprehensive Net Expenditure,2
Grampian-2020-2021,Consolidated Statement of Financial Position,2
Grampian-2020-2021,Notes to the Accounts,2
Grampian-2020-2021,a) Corporate Governance Report,4
Grampian-2020-2021,b) Remuneration and Staff Report,4
Grampian-2020-2021,i) Directors’ Report,1
Grampian-2020-2021,i) Remuneration Report,5
Grampian-2020-2021,ii) Staff Report,2
Grampian-2020-2021,ii) Statement of Chief Executive’s responsibilities as the Accountable Officer of the Health Board,1
Grampian-2020-2021,iii) Statement of Health Board Members’ Responsibilities in respect of the Accounts,23
Grampian-2021-2022,Consolidated Cash Flow Statement,1
Grampian-2021-2022,Consolidated Statement of Changes in Taxpayer’s Equity,46
Grampian-2021-2022,Consolidated Statement of Comprehensive Net Expenditure,2
Grampian-2021-2022,Consolidated Statement of Financial Position,2
Grampian-2021-2022,Notes to the Accounts,7
Grampian-2021-2022,a) Corporate Governance Report,4
Grampian-2021-2022,a) Overview,23
Grampian-2021-2022,b) Remuneration and Staff Report,4
Grampian-2021-2022,i) Directors’ Report,1
Grampian-2021-2022,i) Remuneration Report,9
Grampian-2021-2022,ii) Staff Report,2
Grampian-2021-2022,ii) Statement of Chief Executive’s responsibilities as the Accountable Officer of the Health Board,1
Grampian-2021-2022,iii) Statement of Health Board Members’ Responsibilities in respect of the Accounts,24
Grampian-2022-2023,Consolidated Cash Flow Statement,1
Grampian-2022-2023,Consolidated Statement of Changes in Taxpayer s Equity,12
Grampian-2022-2023,Consolidated Statement of Comprehensive Net Expenditure,2
Grampian-2022-2023,Consolidated Statement of Financial Position,1
Grampian-2022-2023,Notes to the Accounts,4
Grampian-2022-2023,a) Corporate Governance Report,30
Grampian-2022-2023,a) Overview,5
Grampian-2022-2023,b) Remuneration and Staff Report,17
Grampian-2022-2023,i) Remuneration Report,8
Grampian-2022-2023,ii) Staff Report,1
Grampian-2023-2024,A CORPORATE GOVERNANCE REPORT,32
Grampian-2023-2024,A OVERVIEW,7
Grampian-2023-2024,A lease is a contract or part of a contract that conveys the right to use an asset for a,1
Grampian-2023-2024,B PERFORMANCE ANALYSIS,29
Grampian-2023-2024,B REMUNERATION AND STAFF REPORT,7
Grampian-2023-2024,C PARLIAMENTARY ACCOUNTABILITY REPORT,1
Grampian-2024-2025,A CORPORATE GOVERNANCE REPORT,33
Grampian-2024-2025,A OVERVIEW,8
Grampian-2024-2025,A lease is a contract or part of a contract that conveys the right to use an asset for a,1
Grampian-2024-2025,B PERFORMANCE ANALYSIS,36
Grampian-2024-2025,B REMUNERATION AND STAFF REPORT,16
Grampian-2024-2025,C PARLIAMENTARY ACCOUNTABILITY REPORT,2
