doc_id,query_id,failure_type,top1_score,top2_score,margin_top1_top2
Grampian-2022-2023,Q_DEF_2023_01,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_REV_2023_01,HIT,,,
Grampian-2022-2023,Q_DEF_2023_02,HIT,,,
Grampian-2022-2023,Q_ACC_2023_01,HIT,,,
Grampian-2022-2023,Q_ACC_2023_02,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_ACC_2023_03,HIT,,,
Grampian-2022-2023,Q_ACC_2023_04,HIT,,,
Grampian-2022-2023,Q_ACC_2023_05,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_ACC_2023_06,HIT,,,
Grampian-2022-2023,Q_ACC_2023_07,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_ACC_2023_08,HIT,,,
Grampian-2022-2023,Q_TABLE_2023_01,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_TABLE_2023_02,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_TABLE_2023_03,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_TABLE_2023_04,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_TABLE_2023_05,FP2_MISSED_TOP_RANK,,,
Grampian-2022-2023,Q_TABLE_2023_06,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_FIN_01,HIT,,,
Grampian-2023-2024,Q_2024_FIN_02,HIT,,,
Grampian-2023-2024,Q_2024_FIN_03,HIT,,,
Grampian-2023-2024,Q_2024_FIN_04,HIT,,,
Grampian-2023-2024,Q_2024_FIN_P1,HIT,,,
Grampian-2023-2024,Q_2024_FIN_05,HIT,,,
Grampian-2023-2024,Q_2024_FIN_06,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_FIN_07,HIT,,,
Grampian-2023-2024,Q_2024_FIN_P2,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_SAV_01,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_SAV_02,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_SAV_03,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_SAV_P1,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_IJB_01,HIT,,,
Grampian-2023-2024,Q_2024_IJB_02,HIT,,,
Grampian-2023-2024,Q_2024_IJB_03,HIT,,,
Grampian-2023-2024,Q_2024_IJB_04,HIT,,,
Grampian-2023-2024,Q_2024_IJB_P1,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_DEL_01,HIT,,,
Grampian-2023-2024,Q_2024_DEL_02,HIT,,,
Grampian-2023-2024,Q_2024_DEL_03,HIT,,,
Grampian-2023-2024,Q_2024_DEL_P1,HIT,,,
Grampian-2023-2024,Q_2024_STR_01,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_STR_P1,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_AE_01,HIT,,,
Grampian-2023-2024,Q_2024_AE_02,HIT,,,
Grampian-2023-2024,Q_2024_AE_P1,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_GOV_01,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_GOV_02,HIT,,,
Grampian-2023-2024,Q_2024_GOV_03,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_GOV_P1,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_ESC_01,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_PLAN_01,FP2_MISSED_TOP_RANK,,,
Grampian-2023-2024,Q_2024_GOPES_01,HIT,,,
Grampian-2023-2024,Q_2024_GOPES_P1,HIT,,,
Grampian-2024-2025,Q_EFF_2024_01,FP2_MISSED_TOP_RANK,,,
Grampian-2024-2025,Q_EFF_2024_02,FP2_MISSED_TOP_RANK,,,
Grampian-2024-2025,Q_EFF_2024_03,FP2_MISSED_TOP_RANK,,,
