query_id,page_mrr_at_k_dense,page_mrr_at_k_hybrid,delta_hybrid_minus_dense,comparison,plot_x,plot_y
Q_2023_AE_01,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_AE_02,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_AE_03,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_AE_04,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_AE_07,0.3333333333333333,0.3333333333333333,0.0,no_difference,0.3333333333333333,0.3333333333333333
Q_2023_AE_P1,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_AE_P2,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_COV_01,1.0,0.0,-1.0,dense_better,1.0,0.0
Q_2023_COV_02,1.0,0.5,-0.5,dense_better,1.0,0.5
Q_2023_DEL_01,0.5,0.0,-0.5,dense_better,0.5,0.0
Q_2023_DEL_02,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_DEL_P1,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_FIN_01,0.3333333333333333,0.3333333333333333,0.0,no_difference,0.3333333333333333,0.3333333333333333
Q_2023_FIN_02,0.5,1.0,0.5,hybrid_better,0.5,1.0
Q_2023_FIN_03,0.5,0.5,0.0,no_difference,0.5,0.5
Q_2023_FIN_04,0.0,0.5,0.5,hybrid_better,0.0,0.5
Q_2023_FIN_05,1.0,0.5,-0.5,dense_better,1.0,0.5
Q_2023_FIN_06,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_FIN_07,1.0,0.0,-1.0,dense_better,1.0,0.0
Q_2023_FIN_08,0.5,0.3333333333333333,-0.16666666666666669,dense_better,0.5,0.3333333333333333
Q_2023_FIN_09,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_FIN_10,1.0,0.0,-1.0,dense_better,1.0,0.0
Q_2023_FIN_11,0.5,1.0,0.5,hybrid_better,0.5,1.0
Q_2023_FIN_14,0.5,0.0,-0.5,dense_better,0.5,0.0
Q_2023_FIN_15,0.0,1.0,1.0,hybrid_better,0.0,1.0
Q_2023_FIN_16,0.0,0.0,0.0,no_difference,0.0,0.0
Q_2023_FIN_P1,0.0,1.0,1.0,hybrid_better,0.0,1.0
Q_2023_FIN_P2,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_GOV_01,0.0,1.0,1.0,hybrid_better,0.0,1.0
Q_2023_GOV_02,0.5,1.0,0.5,hybrid_better,0.5,1.0
Q_2023_GOV_03,0.0,0.0,0.0,no_difference,0.0,0.0
Q_2023_GOV_05,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_GOV_P1,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_IJB_01,0.5,0.0,-0.5,dense_better,0.5,0.0
Q_2023_IJB_02,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_IJB_03,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_IJB_04,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_IJB_05,0.0,0.0,0.0,no_difference,0.0,0.0
Q_2023_IJB_06,1.0,0.5,-0.5,dense_better,1.0,0.5
Q_2023_IJB_07,0.0,0.0,0.0,no_difference,0.0,0.0
Q_2023_IJB_P1,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_IJB_P2,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_PLAN_01,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_PLAN_02,1.0,0.3333333333333333,-0.6666666666666667,dense_better,1.0,0.3333333333333333
Q_2023_SAV_01,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_SAV_02,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_SAV_03,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_SAV_04,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_SAV_P1,1.0,1.0,0.0,no_difference,1.0,1.0
Q_2023_SAV_P2,1.0,1.0,0.0,no_difference,1.0,1.0
