query_id,page_mrr_at_k_dense,page_mrr_at_k_hybrid,delta_hybrid_minus_dense,comparison
Q_ACC_2023_01,1.0,1.0,0.0,no_difference
Q_ACC_2023_02,1.0,1.0,0.0,no_difference
Q_ACC_2023_03,1.0,1.0,0.0,no_difference
Q_ACC_2023_04,1.0,0.3333333333333333,-0.6666666666666667,dense_better
Q_ACC_2023_05,0.0,0.0,0.0,no_difference
Q_ACC_2023_06,1.0,0.5,-0.5,dense_better
Q_ACC_2023_07,1.0,1.0,0.0,no_difference
Q_ACC_2023_08,0.5,0.5,0.0,no_difference
Q_DEF_2023_01,1.0,1.0,0.0,no_difference
Q_DEF_2023_02,1.0,1.0,0.0,no_difference
Q_REV_2023_01,1.0,0.5,-0.5,dense_better
Q_TABLE_2023_01,0.0,0.0,0.0,no_difference
Q_TABLE_2023_02,0.3333333333333333,0.0,-0.3333333333333333,dense_better
Q_TABLE_2023_03,0.0,0.0,0.0,no_difference
Q_TABLE_2023_04,0.0,0.0,0.0,no_difference
Q_TABLE_2023_05,0.0,0.0,0.0,no_difference
Q_TABLE_2023_06,0.0,0.0,0.0,no_difference
