query_id,page_recall_at_k_dense,page_recall_at_k_hybrid,delta_hybrid_minus_dense,comparison
Q_2024_AE_01,1.0,1.0,0.0,no_difference
Q_2024_AE_02,1.0,1.0,0.0,no_difference
Q_2024_DEL_01,1.0,1.0,0.0,no_difference
Q_2024_DEL_02,1.0,0.0,-1.0,dense_better
Q_2024_DEL_03,1.0,1.0,0.0,no_difference
Q_2024_ESC_01,1.0,1.0,0.0,no_difference
Q_2024_FIN_01,1.0,1.0,0.0,no_difference
Q_2024_FIN_02,1.0,1.0,0.0,no_difference
Q_2024_FIN_03,1.0,1.0,0.0,no_difference
Q_2024_FIN_04,1.0,1.0,0.0,no_difference
Q_2024_FIN_05,1.0,1.0,0.0,no_difference
Q_2024_FIN_06,0.0,1.0,1.0,hybrid_better
Q_2024_FIN_07,1.0,1.0,0.0,no_difference
Q_2024_GOPES_01,1.0,1.0,0.0,no_difference
Q_2024_GOV_01,0.0,1.0,1.0,hybrid_better
Q_2024_GOV_02,1.0,1.0,0.0,no_difference
Q_2024_GOV_03,1.0,0.0,-1.0,dense_better
Q_2024_IJB_01,1.0,1.0,0.0,no_difference
Q_2024_IJB_02,1.0,1.0,0.0,no_difference
Q_2024_IJB_03,1.0,1.0,0.0,no_difference
Q_2024_IJB_04,1.0,1.0,0.0,no_difference
Q_2024_SAV_01,0.0,1.0,1.0,hybrid_better
Q_2024_SAV_02,1.0,1.0,0.0,no_difference
Q_2024_SAV_03,1.0,1.0,0.0,no_difference
