doc_id,query_id,failure_type,is_fp2,rank1_chunk_id,cosine_base_vs_compare,drift_1_minus_cosine
Grampian-2022-2023,Q_DEF_2023_01,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:p0022_001,,
Grampian-2022-2023,Q_REV_2023_01,FP6_INCORRECT_SPECIFICITY,False,Grampian-2022-2023:p0028_000,1.0,0.0
Grampian-2022-2023,Q_DEF_2023_02,FP6_INCORRECT_SPECIFICITY,False,Grampian-2022-2023:p0082_000,1.0,0.0
Grampian-2022-2023,Q_ACC_2023_01,HIT,False,Grampian-2022-2023:p0073_000,1.0,0.0
Grampian-2022-2023,Q_ACC_2023_02,FP5_WRONG_FORMAT,False,Grampian-2022-2023:p0073_000,1.0,0.0
Grampian-2022-2023,Q_ACC_2023_03,FP5_WRONG_FORMAT,False,Grampian-2022-2023:p0073_001,1.0000001,-1.1920929e-07
Grampian-2022-2023,Q_ACC_2023_04,FP5_WRONG_FORMAT,False,Grampian-2022-2023:p0073_002,1.0,0.0
Grampian-2022-2023,Q_ACC_2023_05,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:p0066_001,1.0,0.0
Grampian-2022-2023,Q_ACC_2023_06,FP7_INCOMPLETE,False,Grampian-2022-2023:p0072_000,1.0000001,-1.1920929e-07
Grampian-2022-2023,Q_ACC_2023_07,FP5_WRONG_FORMAT,False,Grampian-2022-2023:p0072_001,1.0000001,-1.1920929e-07
Grampian-2022-2023,Q_ACC_2023_08,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:p0073_001,1.0000001,-1.1920929e-07
Grampian-2022-2023,Q_TABLE_2023_01,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:p0065_000,1.0000001,-1.1920929e-07
Grampian-2022-2023,Q_TABLE_2023_02,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:table_ocr_p0149,1.0,0.0
Grampian-2022-2023,Q_TABLE_2023_03,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:table_ocr_p0119,1.0,0.0
Grampian-2022-2023,Q_TABLE_2023_04,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:table_ocr_p0119,1.0,0.0
Grampian-2022-2023,Q_TABLE_2023_05,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:table_ocr_p0151,1.0,0.0
Grampian-2022-2023,Q_TABLE_2023_06,FP2_MISSED_TOP_RANK,True,Grampian-2022-2023:table_ocr_p0151,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_01,FP7_INCOMPLETE,False,Grampian-2023-2024:p0027_000,0.99999994,5.9604645e-08
Grampian-2023-2024,Q_2024_FIN_02,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0026_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_FIN_03,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0027_001,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_04,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0026_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_FIN_P1,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0027_001,1.0,0.0
Grampian-2023-2024,Q_2024_FIN_05,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0026_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_FIN_06,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0022_002,,
Grampian-2023-2024,Q_2024_FIN_07,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0029_000,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_FIN_P2,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0023_000,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_SAV_01,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0028_001,1.0,0.0
Grampian-2023-2024,Q_2024_SAV_02,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0025_000,0.78430545,0.21569455
Grampian-2023-2024,Q_2024_SAV_03,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0025_000,0.78430545,0.21569455
Grampian-2023-2024,Q_2024_SAV_P1,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0031_001,1.0,0.0
Grampian-2023-2024,Q_2024_IJB_01,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0024_002,,
Grampian-2023-2024,Q_2024_IJB_02,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0024_001,0.90040755,0.09959245
Grampian-2023-2024,Q_2024_IJB_03,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0024_002,,
Grampian-2023-2024,Q_2024_IJB_04,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0025_000,0.78430545,0.21569455
Grampian-2023-2024,Q_2024_IJB_P1,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0024_002,,
Grampian-2023-2024,Q_2024_DEL_01,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0010_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_DEL_02,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0010_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_DEL_03,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0010_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_DEL_P1,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0010_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_STR_01,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0053_000,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_STR_P1,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0028_000,1.0,0.0
Grampian-2023-2024,Q_2024_AE_01,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0012_000,1.0,0.0
Grampian-2023-2024,Q_2024_AE_02,FP6_INCORRECT_SPECIFICITY,False,Grampian-2023-2024:p0012_000,1.0,0.0
Grampian-2023-2024,Q_2024_AE_P1,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0013_000,1.0,0.0
Grampian-2023-2024,Q_2024_GOV_01,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0026_000,1.0,0.0
Grampian-2023-2024,Q_2024_GOV_02,FP5_WRONG_FORMAT,False,Grampian-2023-2024:p0026_001,1.0000001,-1.1920929e-07
Grampian-2023-2024,Q_2024_GOV_03,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0025_000,0.78430545,0.21569455
Grampian-2023-2024,Q_2024_GOV_P1,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0026_000,1.0,0.0
Grampian-2023-2024,Q_2024_ESC_01,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0027_002,1.0,0.0
Grampian-2023-2024,Q_2024_PLAN_01,FP2_MISSED_TOP_RANK,True,Grampian-2023-2024:p0027_002,1.0,0.0
Grampian-2023-2024,Q_2024_GOPES_01,HIT,False,Grampian-2023-2024:p0056_000,1.0,0.0
Grampian-2023-2024,Q_2024_GOPES_P1,HIT,False,Grampian-2023-2024:p0056_000,1.0,0.0
Grampian-2024-2025,Q_EFF_2024_01,FP2_MISSED_TOP_RANK,True,Grampian-2024-2025:p0011_001,1.0,0.0
Grampian-2024-2025,Q_EFF_2024_02,FP2_MISSED_TOP_RANK,True,Grampian-2024-2025:p0011_001,1.0,0.0
Grampian-2024-2025,Q_EFF_2024_03,FP6_INCORRECT_SPECIFICITY,False,Grampian-2024-2025:table_p0012,1.0,0.0
