series,fp_code,count
Grampian 2022-2023 Dense,FP1,0
Grampian 2022-2023 Dense,FP2,18
Grampian 2022-2023 Dense,FP3,7
Grampian 2022-2023 Dense,FP4,0
Grampian 2022-2023 Dense,FP5,2
Grampian 2022-2023 Dense,FP6,16
Grampian 2022-2023 Dense,FP7,0
Grampian 2022-2023 Hybrid,FP1,0
Grampian 2022-2023 Hybrid,FP2,19
Grampian 2022-2023 Hybrid,FP3,0
Grampian 2022-2023 Hybrid,FP4,0
Grampian 2022-2023 Hybrid,FP5,0
Grampian 2022-2023 Hybrid,FP6,0
Grampian 2022-2023 Hybrid,FP7,0
Grampian 2023-2024 Dense,FP1,0
Grampian 2023-2024 Dense,FP2,18
Grampian 2023-2024 Dense,FP3,10
Grampian 2023-2024 Dense,FP4,0
Grampian 2023-2024 Dense,FP5,12
Grampian 2023-2024 Dense,FP6,5
Grampian 2023-2024 Dense,FP7,1
Grampian 2023-2024 Hybrid,FP1,0
Grampian 2023-2024 Hybrid,FP2,18
Grampian 2023-2024 Hybrid,FP3,0
Grampian 2023-2024 Hybrid,FP4,0
Grampian 2023-2024 Hybrid,FP5,0
Grampian 2023-2024 Hybrid,FP6,0
Grampian 2023-2024 Hybrid,FP7,0
