strategy,bm25_weight,n_queries,hit1,hit3,mrr10
rrf,0.5,250,0.712,0.868,0.8060761904761905
rrf,0.75,250,0.704,0.856,0.7982095238095238
rrf,1.0,250,0.716,0.856,0.8040650793650793
rrf,1.25,250,0.716,0.856,0.8025476190476191
rrf,1.5,250,0.716,0.856,0.8017190476190477
rrf,2.0,250,0.716,0.844,0.7983253968253968
score_fusion,0.5,250,0.752,0.888,0.8349095238095238
score_fusion,0.75,250,0.748,0.888,0.8279714285714286
score_fusion,1.0,250,0.752,0.868,0.8245253968253968
score_fusion,1.25,250,0.756,0.868,0.8254206349206349
score_fusion,1.5,250,0.736,0.864,0.8122999999999999
score_fusion,2.0,250,0.728,0.864,0.8053587301587302
