difficulty,k,n_queries,page_recall_at_k,page_hit_at_k,noise_rate_at_k
LEX,1,31,0.5483870967741935,0.5483870967741935,0.45161290322580644
LEX,3,31,0.7741935483870968,0.7741935483870968,0.6612903225806451
LEX,5,31,0.8064516129032258,0.8064516129032258,0.753225806451613
LEX,10,31,0.9354838709677419,0.9354838709677419,0.8720046082949309
MOD,1,14,0.42857142857142855,0.42857142857142855,0.5714285714285714
MOD,3,14,0.6428571428571429,0.6428571428571429,0.761904761904762
MOD,5,14,0.6428571428571429,0.6428571428571429,0.8357142857142857
MOD,10,14,0.7857142857142857,0.7857142857142857,0.8932539682539683
STR,1,7,0.5714285714285714,0.5714285714285714,0.42857142857142855
STR,3,7,0.7142857142857143,0.7142857142857143,0.761904761904762
STR,5,7,0.8571428571428571,0.8571428571428571,0.7952380952380952
STR,10,7,0.8571428571428571,0.8571428571428571,0.8784013605442177
UNSPECIFIED,1,3,1.0,1.0,0.0
UNSPECIFIED,3,3,1.0,1.0,0.5555555555555557
UNSPECIFIED,5,3,1.0,1.0,0.7000000000000001
UNSPECIFIED,10,3,1.0,1.0,0.8055555555555555
