difficulty,k,n_queries,page_recall_at_k,page_hit_at_k,noise_rate_at_k
LEX,1,31,0.6451612903225806,0.6451612903225806,0.3548387096774194
LEX,3,31,0.8064516129032258,0.8064516129032258,0.6505376344086022
LEX,5,31,0.8387096774193549,0.8387096774193549,0.7645161290322581
LEX,10,31,0.8387096774193549,0.8387096774193549,0.8732974910394266
MOD,1,14,0.5714285714285714,0.5714285714285714,0.42857142857142855
MOD,3,14,0.8571428571428571,0.8571428571428571,0.6785714285714286
MOD,5,14,0.8571428571428571,0.8571428571428571,0.7892857142857144
MOD,10,14,0.8571428571428571,0.8571428571428571,0.876530612244898
STR,1,7,0.5714285714285714,0.5714285714285714,0.42857142857142855
STR,3,7,0.7142857142857143,0.7142857142857143,0.7380952380952381
STR,5,7,0.8571428571428571,0.8571428571428571,0.7690476190476191
STR,10,7,0.8571428571428571,0.8571428571428571,0.8739229024943311
UNSPECIFIED,1,3,1.0,1.0,0.0
UNSPECIFIED,3,3,1.0,1.0,0.5555555555555557
UNSPECIFIED,5,3,1.0,1.0,0.6666666666666666
UNSPECIFIED,10,3,1.0,1.0,0.7851851851851852
