doc_id,total_pages_before,unknown_before,unknown_rate_before,total_pages_after,unknown_after,unknown_rate_after,delta_unknown_pages,delta_unknown_rate
Grampian-2004-2005,34,30,0.8823529411764706,50,45,0.9,15,0.01764705882352946
Grampian-2005-2006,33,28,0.8484848484848485,52,28,0.5384615384615384,0,-0.3100233100233101
Grampian-2010-2011,56,55,0.9821428571428571,77,75,0.974025974025974,20,-0.008116883116883078
Grampian-2014-2015,60,57,0.95,77,13,0.16883116883116883,-44,-0.7811688311688312
Grampian-2016-2017,70,68,0.9714285714285714,87,71,0.8160919540229885,3,-0.1553366174055829
Grampian-2017-2018,81,74,0.9135802469135802,98,77,0.7857142857142857,3,-0.1278659611992945
Grampian-2018-2019,97,88,0.9072164948453608,116,89,0.7672413793103449,1,-0.13997511553501596
Grampian-2019-2020,101,94,0.9306930693069307,121,46,0.38016528925619836,-48,-0.5505277800507324
Grampian-2020-2021,113,104,0.9203539823008849,132,40,0.30303030303030304,-64,-0.6173236792705818
Grampian-2021-2022,127,118,0.9291338582677166,145,118,0.8137931034482758,0,-0.11534075481944073
Grampian-2022-2023,148,68,0.4594594594594595,154,56,0.36363636363636365,-12,-0.09582309582309584
Grampian-2023-2024,150,73,0.4866666666666667,161,61,0.37888198757763975,-12,-0.10778467908902695
Grampian-2024-2025,168,72,0.42857142857142855,172,51,0.29651162790697677,-21,-0.13205980066445178
Shetland-2015-2016,48,42,0.875,76,64,0.8421052631578947,22,-0.03289473684210531
Shetland-2016-2017,58,54,0.9310344827586207,79,43,0.5443037974683544,-11,-0.3867306852902662
Shetland-2017-2018,45,44,0.9777777777777777,75,63,0.84,19,-0.13777777777777778
Shetland-2018-2019,55,53,0.9636363636363636,82,60,0.7317073170731707,7,-0.2319290465631929
Shetland-2019-2020,91,87,0.9560439560439561,92,68,0.7391304347826086,-19,-0.21691352126134744
Shetland-2020-2021,156,154,0.9871794871794872,156,120,0.7692307692307693,-34,-0.21794871794871795
Shetland-2021-2022,165,160,0.9696969696969697,165,122,0.7393939393939394,-38,-0.23030303030303034
Shetland-2022-2023,86,79,0.9186046511627907,167,123,0.7365269461077845,44,-0.1820777050550062
Shetland-2023-2024,87,80,0.9195402298850575,160,16,0.1,-64,-0.8195402298850575
Shetland-2024-2025,96,85,0.8854166666666666,164,114,0.6951219512195121,29,-0.19029471544715448
