section_title,total_pages_before,unknown_before,unknown_rate_before,total_pages_after,unknown_after,unknown_rate_after,delta_unknown_pages,delta_unknown_rate
DOCUSIGN ENVELOPE ID: 56BECE47-FAF3-4898-A7B9-C952402F6FF4,163.0,158.0,0.9693251533742331,0.0,0.0,0.0,-158.0,-0.9693251533742331
DOCUSIGN ENVELOPE ID: 1AB19955-EB3E-4D79-9321-9538B5ACD82E,154.0,152.0,0.987012987012987,0.0,0.0,0.0,-152.0,-0.987012987012987
DOCUSIGN ENVELOPE ID: F0BC6E6F-FA68-45D9-A57B-4B1C1EE7595E,91.0,87.0,0.9560439560439561,0.0,0.0,0.0,-87.0,-0.9560439560439561
FINANCIAL STATEMENTS,201.0,197.0,0.9800995024875622,256.0,138.0,0.5390625,-59.0,-0.44103700248756217
ACCOUNTABILITY REPORT,335.0,174.0,0.5194029850746269,527.0,131.0,0.24857685009487665,-43.0,-0.2708261349797503
STRATEGIC REPORT,9.0,9.0,1.0,3.0,3.0,1.0,-6.0,0.0
CHARITABLE ENDOWMENT FUNDS,16.0,16.0,1.0,12.0,10.0,0.8333333333333334,-6.0,-0.16666666666666663
USEFUL LIFE,9.0,9.0,1.0,14.0,4.0,0.2857142857142857,-5.0,-0.7142857142857143
10) DONATED ASSETS,5.0,5.0,1.0,8.0,0.0,0.0,-5.0,-1.0
INTRA GROUP,50.0,50.0,1.0,47.0,46.0,0.9787234042553191,-4.0,-0.021276595744680882
NOTE 1 - ACCOUNTING POLICIES,4.0,4.0,1.0,16.0,0.0,0.0,-4.0,-1.0
8 (C) AMORTISATION,4.0,4.0,1.0,2.0,0.0,0.0,-4.0,-1.0
3) RETROSPECTIVE RESTATEMENTS,3.0,3.0,1.0,8.0,0.0,0.0,-3.0,-1.0
A FINANCIAL INSTRUMENTS BY CATEGORY,6.0,6.0,1.0,3.0,3.0,1.0,-3.0,0.0
B) FINANCIAL RISK FACTORS -,6.0,6.0,1.0,3.0,3.0,1.0,-3.0,0.0
NOTE 9—TRADE AND OTHER RECEIVABLES,3.0,3.0,1.0,9.0,0.0,0.0,-3.0,-1.0
BUILDINGS DWELLINGS,12.0,12.0,1.0,18.0,9.0,0.5,-3.0,-0.5
NOTE 5—SEGMENTAL ANALYSIS,3.0,3.0,1.0,4.0,0.0,0.0,-3.0,-1.0
NOTE 4—OPERATING INCOME,3.0,3.0,1.0,4.0,0.0,0.0,-3.0,-1.0
SUMMARY OF CORE REVENUE RESOURCE OUTTURN,6.0,6.0,1.0,4.0,3.0,0.75,-3.0,-0.25
NOTE 1—ACCOUNTING POLICIES,3.0,3.0,1.0,8.0,0.0,0.0,-3.0,-1.0
NOTE 19—FINANCIAL INSTRUMENTS,3.0,3.0,1.0,16.0,0.0,0.0,-3.0,-1.0
NOTE 12—TRADE AND OTHER PAYABLES,3.0,3.0,1.0,8.0,0.0,0.0,-3.0,-1.0
NOTE 6—INTANGIBLE ASSETS,3.0,3.0,1.0,4.0,0.0,0.0,-3.0,-1.0
2015 2014,3.0,3.0,1.0,0.0,0.0,0.0,-3.0,-1.0
B) FINANCIAL RISK FACTORS,8.0,8.0,1.0,5.0,5.0,1.0,-3.0,0.0
18) CLINICAL AND MEDICAL NEGLIGENCE COSTS,6.0,3.0,0.5,12.0,0.0,0.0,-3.0,-0.5
16) LOSSES AND SPECIAL PAYMENTS,3.0,3.0,1.0,2.0,0.0,0.0,-3.0,-1.0
CONTINGENT LIABILITIES*,4.0,4.0,1.0,2.0,2.0,1.0,-2.0,0.0
DIRECTOR’S GROSS,4.0,4.0,1.0,2.0,2.0,1.0,-2.0,0.0
NOTE 2—NOTES TO THE CASH FLOW STATEMENT,2.0,2.0,1.0,5.0,0.0,0.0,-2.0,-1.0
CERTIFICATE OF COMPLETION,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-1.0
ROYAL CORNHILL HOSPITAL LIGATURE REDUCTION,3.0,3.0,1.0,1.0,1.0,1.0,-2.0,0.0
7D. ANALYSIS OF CAPITAL EXPENDITURE,5.0,5.0,1.0,3.0,3.0,1.0,-2.0,0.0
12(D) HUB SCHEMES,2.0,2.0,1.0,1.0,0.0,0.0,-2.0,-1.0
2B NOTES TO THE CASH FLOW STATEMENT,3.0,3.0,1.0,1.0,1.0,1.0,-2.0,0.0
NOTE 21—CONSOLIDATION OF SUBSIDIARIES AND DISCLOSURE OF INTEREST,2.0,2.0,1.0,3.0,0.0,0.0,-2.0,-1.0
NOTE 3 – EXPENDITURE,2.0,2.0,1.0,4.0,0.0,0.0,-2.0,-1.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2020,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-1.0
NOTE 2 – NOTES TO THE CASH FLOW STATEMENT,2.0,2.0,1.0,2.0,0.0,0.0,-2.0,-1.0
INCOME FROM SCOTTISH GOVERNMENT,4.0,4.0,1.0,2.0,2.0,1.0,-2.0,0.0
AS AT 1ST APRIL 2014,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-1.0
NOTE 18 – COMMITMENTS UNDER PFI / PPP CONTRACTS,2.0,2.0,1.0,3.0,0.0,0.0,-2.0,-1.0
2023 TOTAL,2.0,2.0,1.0,0.0,0.0,0.0,-2.0,-1.0
20) VALUE ADDED TAX,3.0,2.0,0.6666666666666666,4.0,0.0,0.0,-2.0,-0.6666666666666666
INTEGRATION JOINT BOARDS (IJBS),3.0,3.0,1.0,1.0,1.0,1.0,-2.0,0.0
ASSETS HELD FOR SALE - CONSOLIDATED,5.0,5.0,1.0,3.0,3.0,1.0,-2.0,0.0
NOTE 13 – PROVISIONS,2.0,2.0,1.0,5.0,0.0,0.0,-2.0,-1.0
ASSETS UNDER,16.0,16.0,1.0,21.0,14.0,0.6666666666666666,-2.0,-0.33333333333333337
NOTE 12 – TRADE AND OTHER PAYABLES,2.0,2.0,1.0,3.0,0.0,0.0,-2.0,-1.0
AT 1 APRIL,4.0,4.0,1.0,2.0,2.0,1.0,-2.0,0.0
4) GOING CONCERN,2.0,2.0,1.0,6.0,0.0,0.0,-2.0,-1.0
NOTE 7D ANALYSIS OF CAPITAL EXPENDITURE,1.0,1.0,1.0,3.0,0.0,0.0,-1.0,-1.0
BALANCE SHEET,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
NOTE 6 – INTANGIBLE ASSETS,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
NOTE 8 - OPERATING INCOME,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 4 – OPERATING INCOME,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
17) EMPLOYEE BENEFITS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
FOR CNORIS (CLINICAL NEGLIGENCE AND OTHER RISKS INDEMNITY SCHEME) CLAIMS NOTIFIED,4.0,1.0,0.25,0.0,0.0,0.0,-1.0,-0.25
CONTINGENT LIABILITIES £000 £000,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
14) GENERAL FUND RECEIVABLES AND PAYABLES,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
MACHINERY TOTAL,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
OF CASHFLOWS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
CORPORATE GOVERNANCE AND STATUTORY REPORTING 628,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
OQ NON CORE CAPITAL RESOURCE LIMIT 0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
AT 1ST APRIL 2015,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
AT 1 APRIL 2024,1.0,1.0,1.0,3.0,0.0,0.0,-1.0,-1.0
AT 1 APRIL 2023,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AT 1 APRIL 2022,1.0,1.0,1.0,3.0,0.0,0.0,-1.0,-1.0
MEDICAL AND DENTAL,4.0,4.0,1.0,3.0,3.0,1.0,-1.0,0.0
NOTE 5 — FAMILY HEALTH SERVICE EXPENDITURE,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 31 - THIRD PARTY ASSETS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
THE INTEGRATED RESOURCES ADVISORY,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
CONSOLIDATED STATEMENT OF COMPREHENSIVE NET EXPENDITURE (SOCNE) FOR THE FINANCIAL,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 13 - TRADE AND OTHER RECEIVABLES,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
CONSOLIDATED BALANCE SHEET AS AT 31 MARCH 2015,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
NOTE 15 –EVENTS AFTER THE END OF THE REPORTING PERIOD,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 16 - TRADE AND OTHER PAYABLES,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 16 – COMMITMENTS,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
NOTE 18 —- MOVEMENT ON WORKING CAPITAL BALANCES,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
UNDER (EXCLUDING EQUIPMENT MACHINERY TECHNOLOGY ®& FITTINGS CONSTRUCTION,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2024,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
NOTE 2 — STAFF COSTS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 21 - COMMITMENTS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
TRANSPORT PLANT & TOTAL,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
NOTE 21C - CFS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 22 – FINANCIAL INSTRUMENTS,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
NOTE 23 —- COMMITMENTS UNDER PFI CONTRACTS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 25 – RELATED PARTY TRANSACTIONS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 26 – CONSOLIDATION OF SUBSIDIARIES AND DISCLOSURE OF INTEREST IN,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 27 - FINANCIAL INSTRUMENTS,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
NOTE 29 —- RELATED PARTY TRANSACTIONS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
CAPITAL COMMITMENTS,2.0,2.0,1.0,2.0,1.0,0.5,-1.0,-0.5
NOTE 33(B) —- CONSOLIDATED GROUP BALANCE SHEET,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
12(D} HUB SCHEMES,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 33(C) -— CONSOLIDATED STATEMENT OF CASHFLOWS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
NOTE 3A - STAFF COSTS,1.0,1.0,1.0,2.0,0.0,0.0,-1.0,-1.0
CHARITABLE CHARITABLE,3.0,3.0,1.0,2.0,2.0,1.0,-1.0,0.0
OTHER RECEIVABLES,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
CONSOLIDATED STATEMENT OF FINANCIAL POSITION AS AT 31 MARCH 2019,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
2) BASIS OF CONSOLIDATION,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
INDIVIDUAL! CONSOLIDATED,2.0,1.0,0.5,0.0,0.0,0.0,-1.0,-0.5
ENDOWMENT FUNDS GROUP,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0
"9, ANALYSIS OF CAPITAL EXPENDITURE",1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
INVESTMENT INCOME,4.0,4.0,1.0,3.0,3.0,1.0,-1.0,0.0
REMOVE ENDOWMENT EXPENDITURE,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
RACHEL BROWNE CPFA,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
GOVERMENT BANKING SERVICE ACCOUNT BALANCE,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
STAFF COSTS,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0
AMOUNTS PAYABLE TO GENERAL FUND,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
PREVIOUS ADJUSTMENT ADJUSTMENT THESE,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
STOCKS AND BONDS *,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AND GOVERNANCE STATEMENT,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AT 1 APRIL 2014,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
INTEGRATION JOINT BOARDS,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
PENSIONS AND CLINICAL PARTICIPATION OTHER 2017,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
SUB TOTAL,10.0,4.0,0.4,7.0,3.0,0.42857142857142855,-1.0,0.028571428571428525
SCOTTISH GOVERNMENT,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
EXPENDITURE NOT PAID IN CASH,4.0,4.0,1.0,3.0,3.0,1.0,-1.0,0.0
KEY RISK/HAZZARD ACTIONS TO MITIGATE/MANAGE,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AS AT 1ST APRI! 2013,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AS AT 1ST APRIL 2013,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AS AT IST APRIL 2014,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
AS AT TST APRIL 2014,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
HOSPITAL AND COMMUNITY HEALTH SERVICES INCOME,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0
31 MARCH 2024,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0
THE 1995 SECTION,5.0,5.0,1.0,4.0,4.0,1.0,-1.0,0.0
GROSS MINIMUM LEASE PAYMENTS,2.0,2.0,1.0,1.0,1.0,1.0,-1.0,0.0
STATEMENT OF CASHFLOWS,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,-1.0
HCH INCOME,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0
HEALTH BOARDS & COMMON SERVICES AGENCY,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GENERAL REVALUATION OTHER HELD ON — TOTAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GOVERNMENT FINANCIAL REPORTING MANUAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
WITNESS EVENTS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GENERAL FUND RECEIVABLES AND PAYABLES,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GENERAL FUND PAYABLE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GENERAL FUND AT 1 APRIL,2.0,1.0,0.5,2.0,1.0,0.5,0.0,0.0
GAVERNMEN BANKING SENÉCS SCCOUNL BALANCE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MR ALEXANDER SMITH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
FUTURE COMMITMENTS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MY MALCOLM VWRIGHT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
NATIONAL EMPLOYMENT SAVINGS TRUST (NEST),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
GRAWIPIAN AEALIA BUARKL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
HEALTH IMPROVEMENT,1.0,1.0,1.0,2.0,1.0,0.5,0.0,-0.5
LEGAL CLAIMS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
HIGHEST EARNING DIRECTOR’S —§{ 150-155 |-HI ING DIRECTOR’,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LERWICK PORT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LAND FLNCHEDING TRANSPORT INFORMATION FURNITURE & ASSATA UNDER,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LAND BUILDINGS DWELLINGS TRANSPORT PLANT & INFORMATION FURNITURE ASSETS TOTAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LAND (LAND BUILDINGS DWELLINGS TRANSPORT PLANT AND INFORMATION FURNITURE AND,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LIQUID RESOURCES,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
KEY MANAGEMENT COMPENSATION,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MANAGEMENT TRAINING AND DATIX (INCIDENT REPORTING AND RISK MANAGEMENT SYSTEM),0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
KEITH MASSEY [UNTIL 0-5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ISLANDS HEALTH AND SOCIAL CARE PARTNERSHIP (IJB) AGREEMENT ON THE LOCAL JOINT STRATEGIC,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
UNIFIED BUDGET NON DISCRETIONARY,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
UPPER FLOOR MONTFIELD,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
MEDICAL LEGAL,6.0,6.0,1.0,14.0,6.0,0.42857142857142855,0.0,-0.5714285714285714
WAITING TIMES TARGETS — SECONDARY CARE,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
WHOLE TIME EQUIVALENT,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0
INTEGRATION JOINT BOARDS (IJB’S),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
INTEGRATION JOINT BOARDS (IJBS},1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
INFRASTRUCTURE AND EQUIPMENT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
IFRS 19 SUBSIDIARIES WITHOUT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ICT CONSULTANC 6890| I,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
HUMAN RESOURCES,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
MENTAL HEALTH &,5.0,5.0,1.0,5.0,5.0,1.0,0.0,0.0
HIGHEST EARNING DIRECTOR'S TOTAL 125-130 | HIGHEST EARNING DIRECTOR'S TOTAL 150-155,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
LAND BUILDINGS DWELLINGS § TRANSPORT PLANTAND = INFERMATION FURNITURE ASSETS UNDER TOTAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
THE SCOTTISH GOVERNMENT HEALTH AND SOCIAL CARE DIRECTORATE CONTINUE TO SET THREE FINANCIAL,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
NET OPERATING COST,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
REMUNERATION TABLE (AUDITED INFORMATION) A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
REPORT AND GOVERNANCE STATEMENT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
REVALUATION RESERVE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
RISK TITLE,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
THE TRUSTEES OF THE SHETLAND HEALTH,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
ROLE OF THE AUDIT COMMITTEE AND INTERNAL AUDIT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SAG TE A AEN WERSE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SALARIES & WAGES,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
SECTION 2 - OVERVIEW,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SECTION 4 - PERFORMANCE SUMMARY APPRAISAL,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SECTION 4—PERFORMANCE SUMMARY APPRAISAL,2.0,1.0,0.5,2.0,1.0,0.5,0.0,0.0
SERVICE STRATEGY AND REDESIGN COMMITTEE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SHETLAND IJB,4.0,4.0,1.0,4.0,4.0,1.0,0.0,0.0
THE TRADE UNION (FACILITY TIME PUBLICATION REQUIREMENTS) REGULATIONS 2017 REQUIREMENT,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
STAFF COSTS 3A,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
STAFF GOVERNANCE COMMITTEE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
STAFF NUMBERS AND COSTS,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
STATEMENT OF CONSOLIDATED CASHFLOWS,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
STATEMENT OF CONSOLIDATED CHANGES IN TAXPAYERS’ EQUITY,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0
STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,3.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE OFFICER OF,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STATEMENT ON INTERNAL CONTROL,4.0,3.0,0.75,4.0,3.0,0.75,0.0,0.0
STONEHAVEN RENAL DIALYSIS UNIT 0 134,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
STRATEGY AND REDESIGN COMMITTEE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
SUMMARY OF CORE REVENUE RESCURCE OUTTURN 2018/19 2018/19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
THE STATEMENT OF ACCOUNTING OFFICER’S RESPONSIBILITIES,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
SUMMERFIELD HOUSE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
REMUNERATION TABLE (AUDITED INFORMATION),1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
REMUNERATION TABLE (AUDITED INFORMATION,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
TRANSPORT PLANT &,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
REMUNERATION REPORT,3.0,3.0,1.0,3.0,3.0,1.0,0.0,0.0
