doc_id,k,num_queries,hit_before,hit_after,delta_hit,mrr_before,mrr_after,delta_mrr,recall_before,recall_after,delta_recall,precision_before,precision_after,delta_precision
Grampian-2020-2021,1,50,0.68,0.62,-0.06000000000000005,0.68,0.62,-0.06000000000000005,0.68,0.62,-0.06000000000000005,0.68,0.62,-0.06000000000000005
Grampian-2020-2021,3,50,0.86,0.84,-0.020000000000000018,0.75,0.7,-0.050000000000000044,0.86,0.84,-0.020000000000000018,0.43999999999999995,0.3733333333333333,-0.06666666666666665
Grampian-2020-2021,5,50,0.92,0.86,-0.06000000000000005,0.7683333333333333,0.705,-0.06333333333333335,0.92,0.86,-0.06000000000000005,0.24933333333333332,0.233,-0.01633333333333331
Grampian-2020-2021,10,50,0.96,0.88,-0.07999999999999996,0.7756666666666666,0.7083333333333333,-0.06733333333333336,0.96,0.88,-0.07999999999999996,0.13044444444444442,0.11314285714285716,-0.017301587301587262
Grampian-2021-2022,1,50,0.68,0.62,-0.06000000000000005,0.68,0.62,-0.06000000000000005,0.68,0.62,-0.06000000000000005,0.68,0.62,-0.06000000000000005
Grampian-2021-2022,3,50,0.78,0.74,-0.040000000000000036,0.7266666666666667,0.6733333333333333,-0.053333333333333344,0.78,0.74,-0.040000000000000036,0.37,0.31666666666666665,-0.053333333333333344
Grampian-2021-2022,5,50,0.82,0.8,-0.019999999999999907,0.7366666666666667,0.6890000000000001,-0.047666666666666635,0.82,0.8,-0.019999999999999907,0.22466666666666663,0.19166666666666665,-0.032999999999999974
Grampian-2021-2022,10,50,0.9,0.86,-0.040000000000000036,0.7458888888888889,0.6968571428571428,-0.04903174603174609,0.9,0.86,-0.040000000000000036,0.11604761904761904,0.10308730158730159,-0.01296031746031745
Grampian-2022-2023,1,50,0.7,0.7,0.0,0.7,0.7,0.0,0.7,0.7,0.0,0.7,0.7,0.0
Grampian-2022-2023,3,50,0.82,0.86,0.040000000000000036,0.7566666666666667,0.7733333333333333,0.016666666666666607,0.82,0.86,0.040000000000000036,0.3999999999999999,0.39666666666666656,-0.003333333333333355
Grampian-2022-2023,5,50,0.92,0.92,0.0,0.7839999999999999,0.7889999999999999,0.0050000000000000044,0.92,0.92,0.0,0.24933333333333327,0.2413333333333333,-0.00799999999999998
Grampian-2022-2023,10,50,0.96,0.98,0.020000000000000018,0.7913333333333334,0.7998571428571428,0.008523809523809378,0.96,0.98,0.020000000000000018,0.12603968253968253,0.12878571428571428,0.0027460317460317463
Grampian-2023-2024,1,50,0.82,0.82,0.0,0.82,0.82,0.0,0.82,0.82,0.0,0.82,0.82,0.0
Grampian-2023-2024,3,50,0.92,0.92,0.0,0.8633333333333333,0.8633333333333333,0.0,0.92,0.92,0.0,0.41999999999999993,0.41999999999999993,0.0
Grampian-2023-2024,5,50,0.94,0.94,0.0,0.8673333333333333,0.8673333333333333,0.0,0.94,0.94,0.0,0.2793333333333333,0.2743333333333333,-0.0050000000000000044
Grampian-2023-2024,10,50,0.96,0.98,0.020000000000000018,0.8701904761904763,0.8741904761904762,0.0039999999999998925,0.96,0.98,0.020000000000000018,0.13676984126984126,0.14046825396825396,0.003698412698412701
Grampian-2024-2025,1,50,0.72,0.64,-0.07999999999999996,0.72,0.64,-0.07999999999999996,0.72,0.64,-0.07999999999999996,0.72,0.64,-0.07999999999999996
Grampian-2024-2025,3,50,0.92,0.8,-0.12,0.81,0.7166666666666666,-0.09333333333333349,0.92,0.8,-0.12,0.4033333333333334,0.33666666666666667,-0.06666666666666671
Grampian-2024-2025,5,50,0.96,0.86,-0.09999999999999998,0.8216666666666665,0.7316666666666666,-0.08999999999999997,0.96,0.86,-0.09999999999999998,0.2563333333333333,0.2253333333333333,-0.031
Grampian-2024-2025,10,50,0.96,0.88,-0.07999999999999996,0.8216666666666665,0.7356666666666666,-0.08599999999999997,0.96,0.88,-0.07999999999999996,0.1313095238095238,0.11307142857142854,-0.018238095238095248
