doc_id,chunk_id_global,base_idx,comp_idx,cosine_base_vs_compare,drift_1_minus_cosine
Grampian-2024-2025,Grampian-2024-2025:p0002_000,0,0,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0003_000,1,1,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0003_001,2,2,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0003_002,3,3,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0004_000,4,4,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0004_001,5,5,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0004_002,6,6,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0005_000,7,7,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0006_000,8,8,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0006_001,9,9,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0007_000,10,10,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0007_001,11,11,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0009_000,12,12,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0009_001,13,13,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0010_000,14,14,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0011_000,15,15,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0011_001,16,16,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:table_p0012,17,17,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0013_000,18,18,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0014_000,19,19,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0015_000,20,20,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0016_000,21,21,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0016_001,22,22,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0017_000,23,23,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0018_000,24,24,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0019_000,25,25,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0020_000,26,26,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0021_000,27,27,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0022_000,28,28,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0022_001,29,29,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0023_000,30,30,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0024_000,31,31,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0024_001,32,32,0.9663285,0.0336715
Grampian-2024-2025,Grampian-2024-2025:p0025_000,34,34,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0025_001,35,35,0.8764956,0.1235044
Grampian-2024-2025,Grampian-2024-2025:p0025_002,36,36,0.87312084,0.12687916
Grampian-2024-2025,Grampian-2024-2025:p0026_000,37,37,0.9992219,0.00077807903
Grampian-2024-2025,Grampian-2024-2025:p0027_000,40,40,0.62100106,0.37899894
Grampian-2024-2025,Grampian-2024-2025:p0028_000,42,41,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0028_001,43,42,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0029_000,44,43,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0029_001,45,44,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0029_002,46,45,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0030_000,47,46,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0030_001,48,47,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0030_002,49,48,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0031_000,50,49,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0031_001,51,50,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0031_002,52,51,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0032_000,53,52,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0032_001,54,53,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0032_002,55,54,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0033_000,56,55,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0033_001,57,56,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0033_002,58,57,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0034_000,59,58,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0034_001,60,59,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0035_000,61,60,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0035_001,62,61,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0035_002,63,62,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0036_000,64,63,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0036_001,65,64,0.9999999,1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0037_000,66,65,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0037_001,67,66,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0038_000,68,67,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0038_001,69,68,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0039_000,70,69,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0039_001,71,70,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0040_000,72,71,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0041_000,73,72,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0041_001,74,73,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0042_000,75,74,0.99999994,5.9604645e-08
Grampian-2024-2025,Grampian-2024-2025:p0042_001,76,75,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0043_000,77,76,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0043_001,78,77,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:table_p0044,79,78,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:table_p0045,80,79,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0046_000,81,80,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0047_000,82,81,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0047_001,83,82,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0048_000,84,83,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0048_001,85,84,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0049_000,86,85,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0049_001,87,86,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0050_000,88,87,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0050_001,89,88,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0051_000,90,89,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0051_001,91,90,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0052_000,92,91,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0052_001,93,92,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0053_000,94,93,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0053_001,95,94,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0054_000,96,95,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0055_000,97,96,1.0,0.0
Grampian-2024-2025,Grampian-2024-2025:p0055_001,98,97,1.0000001,-1.1920929e-07
Grampian-2024-2025,Grampian-2024-2025:p0056_000,99,98,1.0,0.0
