doc_id,k,num_queries,hit_on,hit_off,delta_hit_on_minus_off,mrr_on,mrr_off,delta_mrr_on_minus_off,recall_on,recall_off,delta_recall_on_minus_off,precision_on,precision_off,delta_precision_on_minus_off
Grampian-2020-2021,1,50,0.62,0.62,0.0,0.62,0.62,0.0,0.62,0.62,0.0,0.62,0.62,0.0
Grampian-2020-2021,3,50,0.84,0.84,0.0,0.7,0.7,0.0,0.84,0.84,0.0,0.3733333333333333,0.3733333333333333,0.0
Grampian-2020-2021,5,50,0.86,0.86,0.0,0.705,0.705,0.0,0.86,0.86,0.0,0.233,0.233,0.0
Grampian-2020-2021,10,50,0.88,0.88,0.0,0.7083333333333333,0.7083333333333333,0.0,0.88,0.88,0.0,0.11314285714285716,0.11314285714285716,0.0
Grampian-2021-2022,1,50,0.62,0.62,0.0,0.62,0.62,0.0,0.62,0.62,0.0,0.62,0.62,0.0
Grampian-2021-2022,3,50,0.74,0.74,0.0,0.6733333333333333,0.6733333333333333,0.0,0.74,0.74,0.0,0.31666666666666665,0.31666666666666665,0.0
Grampian-2021-2022,5,50,0.8,0.8,0.0,0.6890000000000001,0.6890000000000001,0.0,0.8,0.8,0.0,0.19166666666666665,0.19166666666666665,0.0
Grampian-2021-2022,10,50,0.86,0.86,0.0,0.6968571428571428,0.6968571428571428,0.0,0.86,0.86,0.0,0.10308730158730159,0.10308730158730159,0.0
Grampian-2022-2023,1,50,0.7,0.62,0.07999999999999996,0.7,0.62,0.07999999999999996,0.7,0.62,0.07999999999999996,0.7,0.62,0.07999999999999996
Grampian-2022-2023,3,50,0.86,0.8,0.05999999999999994,0.7733333333333333,0.6933333333333332,0.08000000000000007,0.86,0.8,0.05999999999999994,0.39666666666666656,0.34333333333333327,0.05333333333333329
Grampian-2022-2023,5,50,0.92,0.86,0.06000000000000005,0.7889999999999999,0.7073333333333334,0.08166666666666655,0.92,0.86,0.06000000000000005,0.2413333333333333,0.21499999999999997,0.02633333333333332
Grampian-2022-2023,10,50,0.98,0.94,0.040000000000000036,0.7998571428571428,0.7186031746031746,0.08125396825396825,0.98,0.94,0.040000000000000036,0.12878571428571428,0.11665079365079364,0.012134920634920637
Grampian-2023-2024,1,50,0.82,0.68,0.1399999999999999,0.82,0.68,0.1399999999999999,0.82,0.68,0.1399999999999999,0.82,0.68,0.1399999999999999
Grampian-2023-2024,3,50,0.92,0.86,0.06000000000000005,0.8633333333333333,0.7633333333333333,0.09999999999999998,0.92,0.86,0.06000000000000005,0.41999999999999993,0.3933333333333333,0.026666666666666616
Grampian-2023-2024,5,50,0.94,0.94,0.0,0.8673333333333333,0.785,0.08233333333333326,0.94,0.94,0.0,0.2743333333333333,0.26799999999999996,0.0063333333333333575
Grampian-2023-2024,10,50,0.98,0.96,0.020000000000000018,0.8741904761904762,0.789,0.08519047619047615,0.98,0.96,0.020000000000000018,0.14046825396825396,0.1295,0.01096825396825396
Grampian-2024-2025,1,50,0.64,0.56,0.07999999999999996,0.64,0.56,0.07999999999999996,0.64,0.56,0.07999999999999996,0.64,0.56,0.07999999999999996
Grampian-2024-2025,3,50,0.8,0.76,0.040000000000000036,0.7166666666666666,0.6566666666666666,0.05999999999999994,0.8,0.76,0.040000000000000036,0.33666666666666667,0.30333333333333334,0.033333333333333326
Grampian-2024-2025,5,50,0.86,0.8,0.05999999999999994,0.7316666666666666,0.6666666666666665,0.06500000000000006,0.86,0.8,0.05999999999999994,0.2253333333333333,0.19066666666666662,0.03466666666666668
Grampian-2024-2025,10,50,0.88,0.86,0.020000000000000018,0.7356666666666666,0.6745238095238095,0.061142857142857054,0.88,0.86,0.020000000000000018,0.11307142857142854,0.10490476190476189,0.008166666666666655
