query_id,hit_at_1_a,hit_at_1_b,delta_hit_at_1_a_minus_b,hit_at_3_a,hit_at_3_b,delta_hit_at_3_a_minus_b,mrr_a,mrr_b,delta_mrr_a_minus_b
Grampian-2020-2021::Q_2021_CAP_01,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Grampian-2020-2021::Q_2021_CAP_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_CAP_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_CAP_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_CAP_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_COV_01,0.0,0.0,0.0,0.0,1.0,-1.0,0.3333333333333333,0.5,-0.16666666666666669
Grampian-2020-2021::Q_2021_COV_02,0.0,0.0,0.0,0.0,1.0,-1.0,0.2,0.5,-0.3
Grampian-2020-2021::Q_2021_COV_03,0.0,1.0,-1.0,1.0,1.0,0.0,0.3333333333333333,1.0,-0.6666666666666667
Grampian-2020-2021::Q_2021_COV_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_COV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_COV_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_07,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_08,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Grampian-2020-2021::Q_2021_FIN_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_FIN_P3,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.08333333333333331
Grampian-2020-2021::Q_2021_GOV_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_GOV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_GOV_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_GOV_04,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.16666666666666666,0.08333333333333334
Grampian-2020-2021::Q_2021_GOV_P1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.25,-0.04999999999999999
Grampian-2020-2021::Q_2021_IJB_01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25
Grampian-2020-2021::Q_2021_IJB_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_IJB_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_IJB_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_IJB_05,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Grampian-2020-2021::Q_2021_IJB_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_IJB_07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grampian-2020-2021::Q_2021_IJB_08,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_IJB_P1,0.0,0.0,0.0,0.0,1.0,-1.0,0.16666666666666666,0.5,-0.33333333333333337
Grampian-2020-2021::Q_2021_IJB_P2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
Grampian-2020-2021::Q_2021_SAV_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_SAV_02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.2
Grampian-2020-2021::Q_2021_SAV_03,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.08333333333333331
Grampian-2020-2021::Q_2021_SAV_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_SAV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_SAV_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_STR_01,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5
Grampian-2020-2021::Q_2021_STR_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_STR_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2020-2021::Q_2021_STR_04,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2020-2021::Q_2021_STR_05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2020-2021::Q_2021_STR_P1,0.0,1.0,-1.0,0.0,1.0,-1.0,0.2,1.0,-0.8
Grampian-2020-2021::Q_2021_STR_P2,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.25,0.08333333333333331
Grampian-2021-2022::Q_2022_AE_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_AE_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_AE_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_AE_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_AE_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_AE_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_CAP_01,0.0,0.0,0.0,0.0,1.0,-1.0,0.14285714285714285,0.5,-0.35714285714285715
Grampian-2021-2022::Q_2022_CAP_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_CAP_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_CAP_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_COV_01,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Grampian-2021-2022::Q_2022_FIN_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_02,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2021-2022::Q_2022_FIN_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_05,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_07,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,-0.16666666666666666
Grampian-2021-2022::Q_2022_FIN_09,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_FIN_12_P1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grampian-2021-2022::Q_2022_FIN_P1,0.0,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0
Grampian-2021-2022::Q_2022_FIN_P2,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.25,-0.10714285714285715
Grampian-2021-2022::Q_2022_GOPES_01,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.3333333333333333,0.16666666666666669
Grampian-2021-2022::Q_2022_GOV_01,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2021-2022::Q_2022_GOV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_GOV_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_GOV_05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grampian-2021-2022::Q_2022_GOV_P1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2021-2022::Q_2022_IJB_01,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2
Grampian-2021-2022::Q_2022_IJB_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_IJB_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_IJB_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_IJB_05,0.0,1.0,-1.0,1.0,1.0,0.0,0.3333333333333333,1.0,-0.6666666666666667
Grampian-2021-2022::Q_2022_IJB_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_IJB_07,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_IJB_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_IJB_P2,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.19047619047619047
Grampian-2021-2022::Q_2022_SAV_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_SAV_02,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Grampian-2021-2022::Q_2022_SAV_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_SAV_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_SAV_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_SAV_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_STR_01,0.0,1.0,-1.0,0.0,1.0,-1.0,0.16666666666666666,1.0,-0.8333333333333334
Grampian-2021-2022::Q_2022_STR_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_STR_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2021-2022::Q_2022_STR_04,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2021-2022::Q_2022_STR_P1,0.0,1.0,-1.0,0.0,1.0,-1.0,0.25,1.0,-0.75
Grampian-2021-2022::Q_2022_STR_P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grampian-2022-2023::Q_2023_AE_01,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_AE_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_AE_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_AE_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_AE_07,0.0,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0
Grampian-2022-2023::Q_2023_AE_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_AE_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_COV_01,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Grampian-2022-2023::Q_2023_COV_02,0.0,1.0,-1.0,1.0,1.0,0.0,0.5,1.0,-0.5
Grampian-2022-2023::Q_2023_DEL_01,0.0,0.0,0.0,0.0,1.0,-1.0,0.25,0.5,-0.25
Grampian-2022-2023::Q_2023_DEL_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_DEL_P1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2022-2023::Q_2023_FIN_01,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
Grampian-2022-2023::Q_2023_FIN_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_FIN_03,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_FIN_04,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_FIN_05,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.5,0.0
Grampian-2022-2023::Q_2023_FIN_06,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_FIN_07,0.0,1.0,-1.0,0.0,1.0,-1.0,0.25,1.0,-0.75
Grampian-2022-2023::Q_2023_FIN_08,0.0,1.0,-1.0,1.0,1.0,0.0,0.3333333333333333,1.0,-0.6666666666666667
Grampian-2022-2023::Q_2023_FIN_09,0.0,1.0,-1.0,0.0,1.0,-1.0,0.16666666666666666,1.0,-0.8333333333333334
Grampian-2022-2023::Q_2023_FIN_10,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-1.0
Grampian-2022-2023::Q_2023_FIN_11,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_FIN_14,0.0,1.0,-1.0,0.0,1.0,-1.0,0.2,1.0,-0.8
Grampian-2022-2023::Q_2023_FIN_15,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.3333333333333333,0.6666666666666667
Grampian-2022-2023::Q_2023_FIN_16,0.0,0.0,0.0,0.0,1.0,-1.0,0.16666666666666666,0.3333333333333333,-0.16666666666666666
Grampian-2022-2023::Q_2023_FIN_P1,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_FIN_P2,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_GOV_01,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
Grampian-2022-2023::Q_2023_GOV_02,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Grampian-2022-2023::Q_2023_GOV_03,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1111111111111111,0.0888888888888889
Grampian-2022-2023::Q_2023_GOV_05,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.5,0.5
