id,doc_id,start_year,report_year,section,text_preview,page_start_num,page_end_num,x,y
Grampian-2004-2005:p0001_000,Grampian-2004-2005,2004,2005,59 /54¢/0,Annual Accounts _~- OU 135¢90 59 /54¢/0 19410*50 a 06¢ OO + sl o 2) gs es - ' + of Breet lls ae ty Age 123006¢710 +t + + + + + 2004 / 2005,1,1,9.876964,3.8484442
Grampian-2004-2005:p0003_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,Contents 1 Directors’ Report 7 Statement of The Chief Executive’s Responsibilities as The Accountable Officer of Grampian Health Board 8 Statement of Health Board Members’ Responsibilities 9 Statement on Internal Contro…,3,3,-1.4609779,-3.1275237
Grampian-2004-2005:p0004_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,Grampian Health Board Directors’ Report Accounting Convention The Annual Accounts and Notes have been prepared under the historical cost convention modified to reflect changes in the value of fixed assets and in accorda…,4,4,0.70421153,-1.6372107
Grampian-2004-2005:p0004_001,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"ian, at that date. This transfer has been accounted for using merger accounting, as directed by the Resource Accounting Manual. The main effect of this is that the results and cashflows of the trusts for the prior year…",4,4,-2.6374407,0.41258398
Grampian-2004-2005:p0004_002,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"ational and legal barriers, NHS Grampian staff have been empowered to plan and deliver improved health services within a framework of clear strategic direction and rigorous performance management. The role of NHS Grampi…",4,4,-2.6829505,0.4041737
Grampian-2004-2005:p0005_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Following the dissolution of Grampian Primary Care NHS Trust and Grampian University Hospitals NHS Trust on 31 March 2004, an integrated health system was established in NHS Grampian with effect from 1 April 2004. Key a…",5,5,-2.841337,0.47699344
Grampian-2004-2005:p0005_001,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,and Renal Dialysis to improve access levels and waiting times for patients; - Improved working with local authority partners to plan the seamless provision of services across traditional health / local authority boundar…,5,5,-2.7150068,0.482988
Grampian-2004-2005:p0005_002,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Grampian Local Health Council was dissolved on 31 March 2005 as required by the NHS Reform (Scotland) Act 2004. A new Scottish Health Council has been established as part of NHS Quality Improvement Scotland, and local a…",5,5,-0.56258297,3.3348196
Grampian-2004-2005:p0005_003,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Infrastructure and Equipment NHS Grampian invested £19.3million during the year on infrastructure and equipment. The major areas of spend included £6.5million on medical equipment, £2.1million on Information Technology,…",5,5,0.13059777,2.533993
Grampian-2004-2005:p0006_000,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,"Performance against financial targets Limit as set Actual Variance by SEHD Out-turn (Over)/Under £000 £000 £000 Revenue Resource limit 609,577 620,351 (10,774) Capital Resource Limit 10,487 10,054 433 Cash Requirement 5…",6,6,-0.03665488,2.5029862
Grampian-2004-2005:p0006_001,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,", which has been noted by the SEHD. This position reflects the intensity of major cost pressures, in particular, the implementation of national pay and conditions improvements. The Financial Recovery Plan is designed to…",6,6,-2.4820652,4.5237813
Grampian-2004-2005:p0006_002,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,. Board members are selected and appointed through the public appointment process on the basis of their current organisational roles and particular expertise which enables them to contribute to the decision making proce…,6,6,-3.1535401,5.676825
Grampian-2004-2005:p0006_003,Grampian-2004-2005,2004,2005,DIRECTORS’ REPORT,Neva Haites Professor Stephen Logan (resigned 30 September 2004) Professor Valerie Maehle (appointed 1 April 2004) Mrs Elizabeth McDade (appointed 1 April 2004) Councillor George McIntyre (appointed 1 September 2004) Mr…,6,6,-3.0337393,6.08488
Grampian-2004-2005:p0007_000,Grampian-2004-2005,2004,2005,MR ALEXANDER SMITH,Executive members Mr Alexander Smith Interim Chief Executive Dr Eric Baijal Director of Public Health (resigned 8 May 2005) Mr David Benton Nurse Director Mr Richard Carey Chief Operating Officer (appointed 1 October 20…,7,7,-3.3166695,5.254319
Grampian-2004-2005:p0007_001,Grampian-2004-2005,2004,2005,MR ALEXANDER SMITH,"main functions of the Committees, which under SEHD guidance, must exist at unified NHS Board level, together with membership as at 31 March 2005, were as follows: Clinical Governance Committee The main duties of the Cli…",7,7,-3.562842,4.930705
Grampian-2004-2005:p0007_002,Grampian-2004-2005,2004,2005,MR ALEXANDER SMITH,ian’s Internal Audit - Service; the review of external audit arrangements; - the review and monitoring of adherence to the Board’s Standing Orders and Standing - Financial Instructions; and ensuring that effective inter…,7,7,-3.6769755,4.8667297
Grampian-2004-2005:p0008_000,Grampian-2004-2005,2004,2005,STAFF GOVERNANCE COMMITTEE,"Staff Governance Committee The committee has an important role in ensuring consistency of policy and equity of treatment of staff across the local NHS system, including remuneration issues, where they are not already co…",8,8,-4.2510896,5.7300673
Grampian-2004-2005:p0008_001,Grampian-2004-2005,2004,2005,STAFF GOVERNANCE COMMITTEE,"workload and is convened to provide independent advice to participants, researchers, funders, sponsors, employers, care organisations and professionals on the extent to which proposals for research studies comply with r…",8,8,-4.279219,5.7226124
Grampian-2004-2005:p0008_002,Grampian-2004-2005,2004,2005,STAFF GOVERNANCE COMMITTEE,"professionals and organisations within NHS Grampian on ethical matters and to raise their awareness of ethics, as distinct from the specific issues of research ethics. The Committee provides ethical advice on clinical g…",8,8,-4.2159834,5.6121244
Grampian-2004-2005:p0009_000,Grampian-2004-2005,2004,2005,HUMAN RESOURCES,"Board members’ Interests The register of interests of Board members is held at Summerfield House, 2 Eday Road, Aberdeen and may be inspected by members of the public by contacting the Board Secretary. The non executive…",9,9,-5.6350546,1.6674827
Grampian-2004-2005:p0009_001,Grampian-2004-2005,2004,2005,HUMAN RESOURCES,Board strives to be an exemplar employer as evidenced in a positive Staff Governance Self- Assessment Audit and Action Plan and the implementation of new Pay Contracts. Highlights include the introduction of staff suppo…,9,9,-5.6630335,1.6083297
Grampian-2004-2005:p0009_002,Grampian-2004-2005,2004,2005,HUMAN RESOURCES,who become disabled can continue to contribute to the work of the Board. Appointment of Auditors The Public Finance and Accountability (Scotland) Act 2000 places personal responsibility on the Auditor General for Scotla…,9,9,-0.013232259,-1.459856
Grampian-2004-2005:p0010_000,Grampian-2004-2005,2004,2005,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,"GRAMPIAN HEALTH BOARD ANNUAL ACCOUNTS 2004/05 STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE OFFICER OF THE HEALTH BOARD Under Section 15 of the Public Finance and Accountability (Scotland) Act,…",10,10,0.30243877,-5.581427
Grampian-2004-2005:p0011_000,Grampian-2004-2005,2004,2005,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,"GRAMPIAN HEALTH BOARD ANNUAL ACCOUNTS 2004/05 STATEMENT OF HEALTH BOARD MEMBERS’ RESPONSIBILITIES IN RESPECT OF THE ACCOUNTS Under the National Health Service (Scotland) Act 1978, the Health Board is required to prepare…",11,11,0.26993963,-4.211442
Grampian-2004-2005:p0011_001,Grampian-2004-2005,2004,2005,STATEMENT OF THE CHIEF EXECUTIVE’S RESPONSIBILITIES AS THE ACCOUNTABLE,basis unless it is inappropriate to presume that the Board will continue to operate. The Health Board members are responsible for ensuring that proper accounting records are maintained which disclose with reasonable acc…,11,11,0.30171117,-4.1000977
